,,Question,Réponse,
11,FAQ9-11,Est-il possible de trouver la grappe autrement qu'avec l'énigme une?,Non.,https://youtu.be/9PSui6ZoY0I?t=398
12,FAQ9-12,Le Comte s’est-il inspiré ou appuyé sur un poème célèbre pour réaliser le sien?,Non.,https://youtu.be/9PSui6ZoY0I?t=402
13,FAQ9-13,Je vois un lien entre les deux nombres de l’énigme quatre et l'illustration cinq.,Je comprends qu'[on] puisse voir un lien entre les deux nombres de l’énigme quatre. Mais je suis moins certain qu'il y ait un lien entre les deux nombres de l'énigme quatre et l'illustration cinq.,https://youtu.be/9PSui6ZoY0I?t=420
14,FAQ9-14,"A une lettre près, auriez-vous pu faire renaître la chanteuse Dalida?",Non.,https://youtu.be/9PSui6ZoY0I?t=435
15,FAQ9-15,"Concernant les deux dates entre guillemets de l'énigme quatre, nous aident-elles à connaître le thème commun à chaque élément de la charade? À confirmer la première relique ou les deux?",Alors les deux nombres confirment la relique en vous aidant à préciser le résultat de la charade.,https://youtu.be/9PSui6ZoY0I?t=444
16,FAQ9-16,Est-ce que les six items de charade et la première relique ont un thème commun et/ou sont de même nature?,Non.,https://youtu.be/9PSui6ZoY0I?t=461
17,FAQ9-17,Est-ce que remplir les cases d’un échiquier avec des lettres est cohérent ou complètement absurde?,"Là-dessus, c'est un détail de crypto, donc je ne pourrais pas vous dire si c'est le cas ou pas.",https://youtu.be/9PSui6ZoY0I?t=468
18,FAQ9-18,"Lors de cette bataille du Mont Sion, pouviez-vous voir la mer et des collines arides ou plutôt des lacs et des hautes montagnes?","Le Comte pouvait voir quelque chose de très grande valeur au cœur d'une ville. Après, ça vous aidera pas de savoir si vous pouvez voir la mer et des collines arides, ou plutôt des lacs et des hautes montagnes.",https://youtu.be/9PSui6ZoY0I?t=479
19,FAQ9-19,"Je vous propose de faire un petit saut dans le passé pour atterrir en décembre 2023, le jour de la FAQ 8: À ce moment là, saviez-vous qu'il existait un amphithéâtre dans la ville d'Autun?","Évidemment, j'ai cherché la Chouette d’Or, donc il y a même un temple de Janus à Autun. Donc je vous confirme que je connaissais l'existence de cet amphithéâtre romain.",https://youtu.be/9PSui6ZoY0I?t=499
20,FAQ9-20,Remonter le temps jusqu'à voir des dinosaures va-t-il nous aider?,"Non, pas spécialement.",https://youtu.be/9PSui6ZoY0I?t=519
21,FAQ9-21,Il semble manquer quelque chose dans la main du sarcophage de l'illustration quatre.,"Je crois que c'est simplement caché par la colonne, la colonne sur laquelle il y a une balance et le mot LIBRA qui cacherait la main gauche.",https://youtu.be/9PSui6ZoY0I?t=525
22,FAQ9-22,Les 1776 pièces sont-elles des pièces de monnaie?,"Oui, tout à fait.",https://youtu.be/9PSui6ZoY0I?t=543
23,FAQ9-23,Est-ce qu'une année jubilaire peut s'avérer utile?,"J'en ai aucune idée, je ne pense pas.",https://youtu.be/9PSui6ZoY0I?t=551
24,FAQ9-24,"Vous avez dit dans une FAQ que la relique est tangible. Ça remet mes résultats en question. Est-elle tangible par ce qu'elle représente, par exemple, si je veux retrouver la constellation du navire, on peut considérer qu'un navire est tangible. Celui-ci l’est pour notre personnage? Ou alors c'est tangible et réel, comme la Joconde au Louvre?","Même si ça ne va peut-être pas vous plaire, mais c'est tangible et réel.",https://youtu.be/9PSui6ZoY0I?t=557
25,FAQ9-25,Doit-on s'arrêter à un aspect géographique du O de Bostogne ou bien faut-il chercher une référence plus en profondeur?,"Là-dessus, j'espère que l’indice aura pu vous aiguiller, mais je ne peux pas donner plus d’indication.",https://youtu.be/9PSui6ZoY0I?t=577
26,FAQ9-26,Est-ce que l’illustration trois nous confirme que l'on cherche le mal au bon endroit?,"Je ne peux pas répondre, c'est un peu trop précis.",https://youtu.be/9PSui6ZoY0I?t=589
27,FAQ9-27,"Illustration six, on voit un cheval ailé, notre homme avec une épée et un astéroïde. Cette première vision du visuel suffit-elle à comprendre cette illustration?","Quasiment. A la prudence près qu’il ne s'agit pas exactement d'un astéroïde, mais plutôt d'un astre de feu. Mais sinon, sur le reste, vous avez bon.",https://youtu.be/9PSui6ZoY0I?t=600
28,FAQ9-28,Le scorpion de très grande taille sur image quatre est-il là pour vous indiquer une région du monde en particulier?,"Ça peut, mais je ne peux pas en dire davantage sur ce scorpion.",https://youtu.be/9PSui6ZoY0I?t=616
29,FAQ9-29,Doit-on s'attarder sur le fait qu'il y ait un tiret entre Saint-Georges alors qu'il n'y en a pas entre Saint Clair sur et l’elle?,"Non, ça n'a pas d'importance.",https://youtu.be/9PSui6ZoY0I?t=628
30,FAQ9-30,"Connaissez-vous la “Grand Jonc” et si oui, peut-elle nous aider?","Non, je ne connais pas la “Grand Jonc”.",https://youtu.be/9PSui6ZoY0I?t=636
31,FAQ9-31,Le mal cité dans l’énigme deux est-il le même que celui dans l'énigme trois ?,"Il est de même nature, même si ce n'est pas le même.",https://youtu.be/9PSui6ZoY0I?t=643
32,FAQ9-32,"Y’a-t-il un élément sur lequel les chercheurs butent que vous pensiez pourtant facile ou rapide à faire sauter? Si oui, lequel et à votre avis, pourquoi résiste-t-il?","Alors oui, c'est pour ça que l’indice portait principalement dessus. A savoir le résultat des énigmes écrites trois et quatre dont je pensais qu'il serait connu et trouvé par la plupart des joueurs, par beaucoup de joueurs, au bout de six mois. Ce qui n'était pas forcément le cas.",https://youtu.be/9PSui6ZoY0I?t=652
33,FAQ9-33,Question d'ordre articulation générale de la chasse: Pourquoi privilégier les FAQs que les IS?,"Alors j'essaie de faire les deux pour rendre la chasse un peu plus vivante. Et en même temps, donner trop d’IS de façon trop prématurée peut gâcher le plaisir de certains joueurs. Là où les FAQs laissent toujours une part d'interprétation. Y'a un équilibre à trouver et que j'essaie de trouver cet équilibre.",https://youtu.be/9PSui6ZoY0I?t=676
34,FAQ9-34,"Le coffre est enterré dans un lieu public accessible toute l'année à toute heure. Une forêt domaniale répond, me semble-t-il, à ces critères. Est-ce qu'une forêt domaniale peut être un lieu possible d’enfouissement du coffre?","Oui, tout à fait. C'est un lieu possible.",https://youtu.be/9PSui6ZoY0I?t=704
35,FAQ9-35,Les pictogrammes de l’énigme un auraient-ils pu être différents?,"Alors, certains auraient pu être différents, mais pas tous.",https://youtu.be/9PSui6ZoY0I?t=716
36,FAQ9-36,"Si je souhaite connaître les coordonnées d'un lieu, dois-je me fier à celles affichées sur Google Earth ou celles de Wikipedia?","Est-ce que vous voulez dire des coordonnées GPS? Parce qu'après les lieux de la chasse n'ont pas de coordonnées qui diffèrent. Dans le doute, vous pouvez privilégier maps. Mais je crois pas qu'il y ait de matière à débat. Ou que ça soit vraiment d'une importance capitale à certains moments. S'il n'y a pas de degré de précision supplémentaire, par exemple une ville, c’est qu'il n'y a pas besoin de rajouter ce degré de précision et que ça ne vous serait pas forcément utile pour la suite.",https://youtu.be/9PSui6ZoY0I?t=724
37,FAQ9-37,Est-ce que les voyelles de l’E1 auraient pu être remplacées par d'autres dessins?,"Du coup, c'était la question d'Eric. (ndr : question 35)",https://youtu.be/9PSui6ZoY0I?t=758
38,FAQ9-38,Imaginons que je sois technophobe. Donc si je vis dans un endroit paumé au bout du monde et il n'y a pas Internet. Puis-je résoudre cette chasse uniquement avec ma culture personnelle et les bons livres?,"On peut tous l’être après Black Mirror. C'est forcément quelque chose qui peut nous arriver. Ça me paraît très difficile, voire complètement impossible. À moins que votre culture générale soit particulièrement et extraordinairement étendue. Mais dans tous les cas, il faut au moins que vous ayez accès à maps, à mymaps. Donc il faut Internet pour résoudre les énigmes.",https://youtu.be/9PSui6ZoY0I?t=764
39,FAQ9-39,Le personnage des illustrations a-t-il une revanche à prendre?,"Non, il ne s'agit pas exactement d'une revanche.",https://youtu.be/9PSui6ZoY0I?t=794
40,FAQ9-40,La chambre cachée était tout le temps cachée ou peut-elle apparaître lors de certains événements ou si les conditions sont réunies?,"Elle est cachée pour qui ignore son existence. Mais plus important que la Chambre, c'est aussi ce que vous pouvez y trouver qui pourrait vous être utile.",https://youtu.be/9PSui6ZoY0I?t=799
41,FAQ9-41,Dans l’illustration deux se pourrait-il que l'on joue notre vie?,"Alors, sur le coup qui va suivre, vous misez très gros en effet. Après, je dirais pas que vous jouez votre vie.",https://youtu.be/9PSui6ZoY0I?t=815
42,FAQ9-42,Est-ce que l'arbre de l’illustration un est situé sur un terrain privé?,Non.,https://youtu.be/9PSui6ZoY0I?t=825
43,FAQ9-43,"Par rapport au “s” de raisins, est-ce qu'il est possible que le “s” soit présent sur le nom d'un lieu suite à une erreur de transcription et absent sur le nom historiquement?",Non.,https://youtu.be/9PSui6ZoY0I?t=829
44,FAQ9-44,Est-ce qu'un résultat de crypto peut avoir au moins deux interprétations valides pour poursuivre la chasse?,"Oui, tout à fait, et c'est d'ailleurs une très bonne remarque.",https://youtu.be/9PSui6ZoY0I?t=838
45,FAQ9-45,"Concernant la charade de l’énigme quatre, je pense avoir compris le 1543 1938. J'ai trouvé une réponse pour chaque élément de charade avec leurs points commun. J'ai mis à plat mes idées parce que cela semble important. Et pourtant je ne trouve pas la relique. Un tracé est-il nécessaire?",Alors aucun tracé n'est nécessaire. Vous allez trouver un lieu et vous saurez où est la relique dans ce lieu.Sans qu'il ait besoin d'autres indications.,https://youtu.be/9PSui6ZoY0I?t=849
46,FAQ9-46,"Au sujet du rapporteur, confirmez-vous que la valeur à lire est de 18 degrés?",Oui.,https://youtu.be/9PSui6ZoY0I?t=877
47,FAQ9-47,"Dans l'image deux, est-ce que la boule de cristal près des livres représente aussi autre chose?","Alors là dessus, je vous laisse interpréter, je pourrais pas vous le dire.",https://youtu.be/9PSui6ZoY0I?t=881
48,FAQ9-48,Pourrait-on imaginer le poème comme une chanson?,"Vous pouvez, mais il n'a pas été écrit à cette fin.",https://youtu.be/9PSui6ZoY0I?t=892
49,FAQ9-49,"Pour l’énigme quatre, est-ce que vous confirmez qu'il s'agit bien d'une charade qui respecte la définition précise et officielle de ce qu'est une charade du Larousse, à savoir une énigme où l'on doit deviner un mot de plusieurs syllabes décomposés en parties, formant elle-même un mot d’après la définition des parties et du tout?","Alors non, ce n'est pas une charade qui respecte parfaitement cette décision, cette définition, même si elle s'en rapproche.",https://youtu.be/9PSui6ZoY0I?t=895
50,FAQ9-50,Le mal l’est-il pour tout le monde?,"Il l'est pour quasiment tout le monde. Cela dépend aussi de la perspective éthique et philosophique, en effet.",https://youtu.be/9PSui6ZoY0I?t=920
51,FAQ9-51,"Est-ce que l'arbre du visuel un a un lien même minime, avec le jeu du Faro?",Non.,https://youtu.be/9PSui6ZoY0I?t=929
52,FAQ9-52,La découverte du mal pourrait-elle remettre en question la nature de deux de nos chevaux?,Non.,https://youtu.be/9PSui6ZoY0I?t=945
53,FAQ9-53,Est-ce une femme qui dort dans la chambre cachée?,Non.,https://youtu.be/9PSui6ZoY0I?t=950
54,FAQ9-54,Le dernier cercle tombe-t-il pile sur le mal ou une distance entre deux et cinq kilomètres?,Il tombe pile. Il tombe vraiment au kilomètre près.,https://youtu.be/9PSui6ZoY0I?t=953
55,FAQ9-55,3C64 sert-il plus d'une fois?,"Non, ça ne vous sert qu’une seule fois.",https://youtu.be/9PSui6ZoY0I?t=962
56,FAQ9-56,"Tracer le dernier cercle nécessite-t-il un calcul complexe? Ou si nous avons les bons chiffres, cela reste simple?",Le calcul n'est en effet pas très compliqué.,https://youtu.be/9PSui6ZoY0I?t=967
57,FAQ9-57,Trouver la grappe peut-il nous donner un indice pour charade?,Non.,https://youtu.be/9PSui6ZoY0I?t=979
58,FAQ9-58,Trouver une référence littéraire [peut-il être d’une grande aide pour résoudre la charade?],Ça je ne peux pas vous dire.,https://youtu.be/9PSui6ZoY0I?t=983
59,FAQ9-59,Est-il possible que l'on craigne de mourir de plaisir?,"En tout cas, Michel Sardou n'a rien à voir dans la chasse de l'Élixir d’Or. Je ne pense pas.",https://youtu.be/9PSui6ZoY0I?t=988
60,FAQ9-60,"Dans l’illustration trois, peut-on dire que votre personnage ait creusé sa propre tombe à cause de manipulations et de trahisons?","Oui, c'est possible.",https://youtu.be/9PSui6ZoY0I?t=994
61,FAQ9-61,Les cendres de l’énigme quatre sont-elles les mêmes que celles d'INRI?,"Non, elles ont un sens plus large dans INRI.",https://youtu.be/9PSui6ZoY0I?t=1006
62,FAQ9-62,Peut-on trouver des indices dans le visuel quatre pouvant nous aider à comprendre 1543 et 1938?,"Ça, je peux pas vous dire.",https://youtu.be/9PSui6ZoY0I?t=1014
63,FAQ9-63,La charade aurait-elle pu être rédigée avec une ligne supplémentaire?,"Ça par contre, je peux vous dire que non. Elle n'aurait pas pu avoir un élément supplémentaire.",https://youtu.be/9PSui6ZoY0I?t=1023
64,FAQ9-64,Diriez-vous que le visuel un correspond à une période de questionnement du personnage?,Alors non. Le personnage sait exactement ce qu'il veut dans le visuel un.,https://youtu.be/9PSui6ZoY0I?t=1030
65,FAQ9-65,"La chasse nous parle [de vin de raisin, nous parle-t-elle aussi précisément d’eaux de vie de raisins?]",Je ne peux pas répondre à cette question.,https://youtu.be/9PSui6ZoY0I?t=1043
66,FAQ9-66,"Le fait de rapprocher et de croiser les visuels entre eux, en se basant sur des récurrences comme les couleurs, objets, éléments, vous semble-t-il une méthode de recherche pertinente?","Oui, c'est une bonne méthode de recherche.",https://youtu.be/9PSui6ZoY0I?t=1046
67,FAQ9-67,Pensez-vous que jouer à Assassin's Creed peut être une bonne source d'inspiration et d'information pour votre chasse?,"Alors il peut y avoir des lieux qui s'y retrouvent car ce sont des jeux vidéo historiques, mais bien que grand amateur de cette saga, ça n'ira pas forcément plus loin.",https://youtu.be/9PSui6ZoY0I?t=1059
68,FAQ9-68,"Dans l'image deux, c'est le jour ou la nuit?",C’est la nuit.,https://youtu.be/9PSui6ZoY0I?t=1077
69,FAQ9-69,Est-ce qu'une combinaison particulière permettrait de gagner à coup sûr au jeu de Faro?,"Je ne peux pas répondre à cette question. C'est un peu trop précis. Je ne pourrais pas vous dire comment jouer, ni même si il faut jouer au Faro.",https://youtu.be/9PSui6ZoY0I?t=1081
70,FAQ9-70,Pourrait-on penser que sur le visuel trois que la tranchée peut faire référence à la guerre 14-18?,"Il ne s'agit pas d'une tranchée, donc j’aurais plutôt tendance à répondre par la négative.",https://youtu.be/9PSui6ZoY0I?t=1101
71,FAQ9-71,La valeur angulaire de l’instrument du visuel deux est-elle bien liée à une couleur?,"Non, ce n'est pas lié à une couleur.",https://youtu.be/9PSui6ZoY0I?t=1111
72,FAQ9-72,Est-ce que 1543 1938 aurait pu être 2352 2758 sans que ça change grand chose à la résolution?,"Si, ça change tout. Ça devait être 1543 1938 et pas autre chose.",https://youtu.be/9PSui6ZoY0I?t=1119
73,FAQ9-73,"Le lierre de la connaissance peut-il pousser de manière régulière, de bas en haut et de gauche à droite, et inversement?","Alors il pousse de bas en haut, mais il ne va pas pousser de manière régulière, mais plutôt de façon tordue.",https://youtu.be/9PSui6ZoY0I?t=1135
74,FAQ9-74,"La chute des hommes est-elle liée au péché originel, donc en ce sens, à la religion?",J'ai répondu un peu plus tôt qu'il n'y avait pas de jansénisme dans la chasse et je maintiens qu’il n’y aura pas de question de chute originelle pour l'Élixir.,https://youtu.be/9PSui6ZoY0I?t=1150
75,FAQ9-75,Faut-il comprendre Novus ordo pour résoudre la charade?,"Non, pas besoin de comprendre Novus ordo.",https://youtu.be/9PSui6ZoY0I?t=1166
76,FAQ9-76,Est-ce que les pièces d'or de l’E5 sont issues d'un trésor découvert?,"Alors, c'est une très bonne remarque, mais je ne pourrais pas faire de commentaire sur cette question.",https://youtu.be/9PSui6ZoY0I?t=1172
77,FAQ9-77,Faut-il avoir résolue l’énigme deux pour trouver le bon cheval de l’énigme trois?,"Oui, tout à fait.",https://youtu.be/9PSui6ZoY0I?t=1183
78,FAQ9-78,"Si je vous dis “les matelots Riri, Fifi et Loulou nous font des crêpes. Ils seront nos premiers cuistots pour la croisière”. Par rapport au positionnement de la virgule, je suppose qu'ils sont tous matelots. Ai-je raison de penser cela?","Très bonne question. Très bien tournée et en mérite, je pourrais vous répondre que oui. Vous avez tout à fait raison.",https://youtu.be/9PSui6ZoY0I?t=1189
79,FAQ9-79,L’épée peut-elle être dissymétrique?,"Alors ça dépend par quel axe de symétrie vous l’analysez. Et donc je vous répondrais que forcément, il y a un axe par lequel elle est dissymétrique.",https://youtu.be/9PSui6ZoY0I?t=1207
80,FAQ9-80,Ce qui est dessiné comme motif sur le sarcophage de l'illustration quatre est-il un libre choix de l'illustratrice?,"Oui, oui, c'est un libre choix. Je vous le confirme.",https://youtu.be/9PSui6ZoY0I?t=1227
81,FAQ9-81,"Dans une FAQ précédente, vous avez dit que nous avions tous le mal en nous. Pouvez-vous préciser? L'avons-nous génétiquement, philosophiquement, spirituellement, culturellement ou simplement dans le cadre spécifique de cette chasse?","Vous l'avez dans le cadre spécifique de cette chasse, naturellement. Mais on peut dire que la plupart d'entre nous l'avons également, soit spirituellement, soit culturellement.",https://youtu.be/9PSui6ZoY0I?t=1239
82,FAQ9-82,"Vous avez également dit que sur le visuel six, le nombre de points et de traits émanant de la boule de feu étaient à la liberté de l'artiste. Est-ce que le nom de certains de ses traits/points est précis? Trouver ceux qui ont été demandés dans le cahier des charges [peut-il être une bonne idée?]","Non. Il n'y a pas eu de précision là-dessus dans le cahier des charges, donc ça ne vous sera pas utile de compter le nombre de points ou de traits sur le visuel six.",https://youtu.be/9PSui6ZoY0I?t=1264
83,FAQ9-83,La charade est-elle un ichtus?,"Non, si je me souviens bien de la définition, je ne crois pas. Il ne s'agit pas d'un ichtus.",https://youtu.be/9PSui6ZoY0I?t=1287
84,FAQ9-84,L'oiseau du visuel un peut-il être associé à un dieu?,Non.,https://youtu.be/9PSui6ZoY0I?t=1294
85,FAQ9-85,L'arbre du visuel un peut-il avoir des fruits relativement peu comestibles?,"Je vois bien à quoi vous faites référence, mais du coup, ce serait trop précis pour que je puisse y apporter une réponse.",https://youtu.be/9PSui6ZoY0I?t=1299
86,FAQ9-86,Quelle est la valeur de la relique à vos yeux? Je parle de valeur dans le cadre de la chasse.,"Alors elle n'a pas une valeur quantifiable, elle a une valeur qui est inestimable dans le cadre du jeu.",https://youtu.be/9PSui6ZoY0I?t=1309
87,FAQ9-87,"Selon vos dires, il est important de se demander pour qui les hommes tombent. Sont-ils contraints de tomber? Le font-ils par devoir? Une action sacrificielle ou rituelle aurait-elle sa place?","C'est une très bonne remarque, car en effet, ils ne sont pas, on pourrait dire, dans une certaine mesure, qu’ils ne sont pas contraints, qu’ils auraient pu faire d'autres choix, quitte à renier certains de leurs idéaux, certaines de leurs idées pour se sauver. Mais ils ont fait, à l'inverse, un choix, on va dire, un choix qui les honore, mais qui les a conduit à tomber.",https://youtu.be/9PSui6ZoY0I?t=1320
88,FAQ9-88,Pourrions-nous parcourir la grappe? Dans le sens de marcher le long de la grappe?,"Oui, tout à fait.",https://youtu.be/9PSui6ZoY0I?t=1353
89,FAQ9-89,"Sur l’illustration trois, assistons-nous à une rencontre au sommet?","Non, vous assistez plutôt à une rencontre aux abysses.",https://youtu.be/9PSui6ZoY0I?t=1375
90,FAQ9-90,"Je suis sur la pierre d’attente, je patiente. Dois-je attendre un moment précis pour tourner mon regard en pèlerin?",Vous pouvez le faire dès que vous avez trouvé la pierre d’attente. Mais pas besoin d'attendre à ce moment là.,https://youtu.be/9PSui6ZoY0I?t=1383
91,FAQ9-91,Des inversions semblent être présentes dans les visuels. Peut-on penser que dans la structure des phrases de certaines énigmes également?,"Oui, vous pouvez le penser tout à fait. Et ça peut être vrai.",https://youtu.be/9PSui6ZoY0I?t=1395
92,FAQ9-92,Est-ce que pour la salle cachée j'ai droit au chapitre?,"Vous aurez droit au chapitre, vous auriez droit au chapitre, mais seulement en fin de jeu.",https://youtu.be/9PSui6ZoY0I?t=1406
93,FAQ9-93,"Est-ce que la fonction principale de la pièce dont nous avons besoin  pour résoudre l'énigme cinq est d'être dépenser,  consommer, jouer ou admirer?","La principale fonction, c'est d'être dépensée. Vous devrez être ruiné complètement, ne plus avoir aucune pièce pour pouvoir trouver le trésor. Mais avant ça, pour pouvoir trouver le lieu familier.",https://youtu.be/9PSui6ZoY0I?t=1416
94,FAQ9-94,"Si je m'en tiens au règlement du jeu, j'ai besoin de maps pour faire mes tracés. Pourriez-vous m'indiquer comment tracer des segments perpendiculaires avec mymaps?","Je vous incite pas forcément à le faire. Vous pouvez faire tous vos tracés avec mymaps, calcmaps et Google Earth Pro. Vous n'avez besoin de rien d'autre. Donc si vous deviez relier des villes, vous pourriez prendre n'importe quel point, s'il n'y a pas  de précision supplémentaire ou le point par défaut de maps, ça ne changerait rien.",https://youtu.be/9PSui6ZoY0I?t=1437
95,FAQ9-95,Le personnage des visuels a-t-il vraiment existé ou est-il fictif?,"Non, il a vraiment existé.",https://youtu.be/9PSui6ZoY0I?t=1465
96,FAQ9-96,Elles sont trinités. Sont-elles hautes?,"Là-dessus, je ne pourrais pas vous apporter une réponse précise. C'est un peu trop délicat.",https://youtu.be/9PSui6ZoY0I?t=1471
97,FAQ9-97,Dans quelle mesure la connaissance liée au lierre aurait-elle pu être associée à une autre plante?,Dans aucune mesure. Elle n'aurait jamais pu être associée à une autre plante que le lierre.,https://youtu.be/9PSui6ZoY0I?t=1480
98,FAQ9-98,"J'ai planté le lierre de la connaissance, j'ai fait une observation notée et précise. Je vois des triangles? Êtes-vous étonné ou au contraire satisfait de mon observation?",Je suis plutôt étonné.,https://youtu.be/9PSui6ZoY0I?t=1490
99,FAQ9-99,Les titres des énigmes doivent-ils automatiquement avoir une corrélation avec l’énigme avec laquelle ils correspondent?,"Ça tient un peu à l'architecture, donc je ne pourrais pas vous apporter de réponse.",https://youtu.be/9PSui6ZoY0I?t=1499
100,FAQ9-100,Peut-on tenir debout et à plusieurs dans la chambre cachée?,Oui.,https://youtu.be/9PSui6ZoY0I?t=1509
101,FAQ9-101,La chambre cachée a-t-elle également été oubliée pour être retrouvée à notre époque contemporaine?,"Oui, également.",https://youtu.be/9PSui6ZoY0I?t=1514
102,FAQ9-102,"Enfin, plante-t-on toujours de nos jours le lierre dont s'inspire celui de la connaissance? ",Non.,https://youtu.be/9PSui6ZoY0I?t=1521
103,FAQ9-103,"Pendant la charade, est-ce que mon regard est toujours porté au loin?",Non.,https://youtu.be/9PSui6ZoY0I?t=1527
104,FAQ9-104,Notre personnage barbu peut-il être confondu avec un autre de ses contemporains?,Non.,https://youtu.be/9PSui6ZoY0I?t=1531
105,FAQ9-105,Le jeune merle est-il reclus? Aurait-il pu être un merle adulte?,"Non, c'est un jeune merle. On pourrait également dire que c'est un petit merle.",https://youtu.be/9PSui6ZoY0I?t=1536
106,FAQ9-106,Utiliser ce qui nous mène à la pièce nous permet-il de jouer les marins d'eau douce?,Non.,https://youtu.be/9PSui6ZoY0I?t=1546
107,FAQ9-107,Le cheval du visuel cinq est-il en moonwalk?,Non.,https://youtu.be/9PSui6ZoY0I?t=1554
108,FAQ9-108,"Pour rejoindre le lieu familier, passons-nous par un lieu familier de la même branche?","Non, je ne pense pas.",https://youtu.be/9PSui6ZoY0I?t=1557
109,FAQ9-109,Un tracé de l'énigme deux nous aide-t-il à identifier le lieu familier?,Non.,https://youtu.be/9PSui6ZoY0I?t=1562
110,FAQ9-110,"Est-ce normal qu'avec l'échiquier, je ne trouve que trois cavaliers? Le dernier est-il à déduire?",C'est possible.,https://youtu.be/9PSui6ZoY0I?t=1567
111,FAQ9-111,"Sur le visuel un, le personnage cherche-t-il le mal?",Non.,https://youtu.be/9PSui6ZoY0I?t=1573
112,FAQ9-112,"Pour la pièce, devons-nous utiliser la part de [Thot]?","Alors non. Vous devez utiliser [l’intégralité des pièces, à répartir à votre guise.] Je vais vous laisser choisir, mais l'important est qu'il ne vous reste vraiment rien à la fin. En tout cas, n'y a pas de lien particulier entre la pièce et l'œil d'Horus.",https://youtu.be/9PSui6ZoY0I?t=1577
113,FAQ9-113,Se tenir à égale distance est-il à prendre en considération à plusieurs reprises?,Non.,https://youtu.be/9PSui6ZoY0I?t=1592
114,FAQ9-114,Connaître le solfège peut-il être un avantage pour nous dans la chasse?,"Là-dessus, je pourrais pas vous donner de précisions parce que ça concernerait toute une piste.",https://youtu.be/9PSui6ZoY0I?t=1596
115,FAQ9-115,La pierre ayant été extraite du trou dans lequel nos deux compères prennent du bon temps sur le visuel trois est-elle bien carrée?,"Non, car le trou est rectangulaire. Mais je ne valide pas le pré supposé qu'on aurait extrait nécessairement une pierre de ce trou.",https://youtu.be/9PSui6ZoY0I?t=1605
116,FAQ9-116,La chambre cachée peut-elle être associée à la découverte d'un lieu sur le dernier cercle?,Non.,https://youtu.be/9PSui6ZoY0I?t=1617
117,FAQ9-117,Devons-nous suivre le dernier cavalier plus d'une fois?,"Vous devrez le suivre, mais qu'une seule fois.",https://youtu.be/9PSui6ZoY0I?t=1622
118,FAQ9-118,"La chambre cachée: l’obtenons-nous avant l'énigme quatre directement avec les éléments dans l’énigme cinq ou ni l'une, ni l'autre de ces propositions?",Je vais passer sur cette question.,https://youtu.be/9PSui6ZoY0I?t=1626
119,FAQ9-119,Jouons nous à neuf contre sept?,Non.,https://youtu.be/9PSui6ZoY0I?t=1636
120,FAQ9-120,Les v minuscules ont-ils autant d'importance que les V majuscules?,"Les titres des énigmes ont leur importance. VITRIOL, il est normal que tout soit en majuscules. Après sur le reste, je n'ai pas de remarques particulières à faire. Mais sinon, considérez que ça n'a pas beaucoup d'importance.",https://youtu.be/9PSui6ZoY0I?t=1639
121,FAQ9-121,Comme on le sait l'âme voyage après la mort. Est-ce le cas de celle de l'énigme deux?,"Oui, en quelque sorte.",https://youtu.be/9PSui6ZoY0I?t=1667
