,,Question,Réponse
38,FAQ12-38,"Au cours des FAQs et de la recherche de la chambre cachée, on est passé du terme ""élément à trouver dans cette chambre"" à ""objet qui définirait le point de départ du lierre de la connaissance"". Un écrit sur un mur fait-il référence à cette notion d'élément ou d'objet ?","C'est une excellente remarque, mais je ne peux pas répondre à cette question."
39,FAQ12-39,Cet élément-objet nous amène-t-il à avoir des connaissances sur un certain voyage dans les ténèbres ?,"Très bonne question, mais je ne peux pas y répondre."
40,FAQ12-40,La pierre d'attente était-elle initialement dans la chambre cachée ?,"Non, elle est bien loin de la chambre cachée."
41,FAQ12-41,A-t-elle voyagé [ndr: la pierre d'attente] au cours du temps depuis la redécouverte de la chambre cachée ?,"Non, elle n’a jamais bougé."
42,FAQ12-42,Est-ce que seule la personne qui a les yeux clos dans la chambre peut voir et monter sur la pierre d'attente ?,"Si on extrapole, la personne qui a les yeux clos aurait pu y monter. Mais on n’a pas dû y rester bien longtemps."
43,FAQ12-43,"Lors de la redécouverte de la chambre cachée, était-elle intacte ou a-t-elle été visitée depuis qu'elle a été cachée ?",Je pourrais pas vous dire. Je n'ai pas l'information.
44,FAQ12-44,Le décor de la voute de la chambre cachée diffère-t-elle des autres chambres du même type ?,"Alors tout ce que je peux dire, c'est que la chambre est assez unique dans sa décoration."
45,FAQ12-45,"Vous connaissez probablement la lumineuse formule de notre célèbre philosophe contemporain Jean-Claude: ""1+1=1"". Peut-elle s'appliquer par moment à la chasse ?","Non, là-dessus, je ne pense pas que Van Damme pourra vous être utile. Malheureusement."
46,FAQ12-46,La Fontaine de Jouvence peut-elle nous aider dans notre quête ?,"Je ne peux pas répondre à cette question.
"
47,FAQ12-47,"A propos des cavaliers de l'illustration deux, et sans parler de couleur hexadécimale, peut-on imaginer que la nuance de vert et la nuance de rouge choisies puissent ultérieurement servir de confirmation à quelque chose ?","Je pourrais pas dire clairement sur les nuances, à part vous confirmer qu'il s'agit d'un vert plutôt pâle. Voilà ce que je pourrais dire."
48,FAQ12-48,Quel passage de l’ouvrage de Dante nous recommandez-vous de lire ?,"Là-dessus, c'est un peu trop précis. Je ne pourrais pas donner d'éléments."
49,FAQ12-49,Une petite montagne à trois croix a-t-elle son importance dans la chasse ?,C'est une bonne question et je pense que vous devriez aller au bout de cette piste si vous l’explorez.
50,FAQ12-50,Faust peut-il nous être utile ?,Oui.
51,FAQ12-51,"Au cours de notre quête, pourrions-nous être amenés à aller jusqu'au bout du monde ?",Vous pourriez être amenés jusqu’au Nouveau Monde. Mais je ne pense pas que vous auriez besoin d'aller jusqu'au bout du monde.
52,FAQ12-52,"Appliqué à notre quête, serait-il juste de dire que la fuite est parfois la meilleure option ?","Non, je ne pense pas. Au contraire, vous ne devriez pas fuir."
53,FAQ12-53,Est-ce que les fanions blanc et rouge du visuel quatre sont apparus simultanément ou à des intervalles éloignés ?,Ils sont apparus simultanément.
54,FAQ12-54,Les cendres à relier croisent-elles le lieu familier ?,"Ça, je pourrais pas répondre."
55,FAQ12-55,Les cavaliers de l'échiquier sont-ils des chevaliers ?,"Alors oui, on peut les appeler comme ça. D'ailleurs, dans d'autres langues que le français, c'est le même terme qui désigne chevalier et cavalier. Par exemple en anglais, c’est le terme de “Knight”. Donc oui, tout à fait."
56,FAQ12-56,Les trois points sur l'illustration six à droite du centre de l'astre de feu font-ils partie du cahier des charges ?,"Non, ça ne fait pas partie du cahier des charges, donc c'est une liberté de Mathilde là-dessus."
57,FAQ12-57,Le rapporteur a-t-il été minutieusement positionné par rapport à d'autres éléments de l'image ?,"Là-dessus, je ne peux pas répondre."
58,FAQ12-58,"L'objet qui se trouve dans la chambre cachée a-t-il été posé par une personne que le Comte connait ? Et cet objet était-il justement destiné seulement au Comte ? L'objet de la chambre caché se trouve-t-il présent depuis la création de la chambre ou est-ce postérieur ? De plus, se trouve-t-il toujours dans cette chambre cachée à notre époque ?","L'élément dans la chambre cachée était là bien avant le Comte. Et, ce que je peux dire, ce qu'il y est a priori, toujours aujourd'hui."
59,FAQ12-59,Nous avons trois références à un engagement passé. Pourrait-il y en avoir un quatrième qui serait en lien avec le fil rouge ?,"Alors je n'ai pas compté et je ne sais pas à quoi fait référence un engagement passé précisément. Donc, là-dessus, je pourrais pas répondre précisément."
60,FAQ12-60,Êtes-vous d'accord avec cette expression: “Le diable se cache dans les détails” ?,"Oui, plutôt."
61,FAQ12-61,"A choisir un objet fétiche ou un porte bonheur, le Comte de Saint-Germain serait-il plutôt patte de lapin, patte d'oie ou patte d'éléphant ?",Je dirais plutôt patte de lapin.
62,FAQ12-62,"Riri, Fifi ou Loulou étaient-ils adeptes d'une forme de covoiturage ?","Non, ils n'étaient pas adeptes de covoiturage."
63,FAQ12-63,"Vous connaissez sans doute ce proverbe “Il vaut mieux avoir affaire à Dieu qu'à ses Saints”. Dans le cadre de la chasse, pourrais-je faire une entorse à celui-ci et m'adresser d'abord aux Saints ?","Oui, c'est une bonne question et la réponse est oui. Tout à fait."
64,FAQ12-64,"Les couleurs rouges et blanches des fanions sont-elles associées à un ou plusieurs symboles d'identité, de puissance et d'autorité ?",En partie oui.
65,FAQ12-65,"Serait-il erroné de penser qu'à un moment donné, voire précis, notre parcours serait fléché (par une flèche) ?",Non. Il n'y a pas de parcours fléché.
66,FAQ12-66,Le Comte est-il un farceur ?,"Toutes proportions gardées, oui, la personnalité du Comte est plutôt facétieuse. Donc je dirais que c'est un farceur."
67,FAQ12-67,Les fanions rouges et blancs font-ils référence à une ville ?,Je peux pas répondre à cette question.
68,FAQ12-68,Les fanions rouges et blancs font-ils référence à des personnes ?,"Je peux pas répondre à cette question. C'est à vous de comprendre à quoi peuvent faire référence, alors je dirais pas forcément fanions, mais les étendards. Mais oui, ou fanion c'est bien aussi, mais c'est à vous de savoir à quoi ça peut faire référence."
69,FAQ12-69,"Dans la FAQ 10, vous avez dit que le personnage abandonne l'épée, je cite: “parce qu'il n'est pas encore digne de l’avoir et qu'il ne peut pas en quelque sorte s'en servir”. Est-ce que c'est parce que le personnage aurait découvert une vérité ? Ce qui l'a rendu digne et qu'il a pu se servir de l'épée ?","Là-dessus, ça me semble trop précis pour que je puisse répondre."
70,FAQ12-70,"Dans l’énigme cinq, une référence à Pythagore peut-elle nous permettre de faire le bon compte ?",Je peux pas répondre à cette question. C’est trop précis.
71,FAQ12-71,Le lierre de la connaissance est-il intéressant par la forme de ses feuilles ?,"Non, pas vraiment."
72,FAQ12-72,"La pierre d'attente est-elle plus à caractère religieux, politique ou culturel ? De plus, si elle a été choisie parmi d'autres, les autres sont-elles toujours au même endroit où la pierre d'attente se trouve ? Et si oui, est-ce que je peux, du coup, faire un mauvais choix parmi toutes ces pierres ?","Sur la première partie religieux, politique ou culturel, ça je ne répondrais pas. Sur le reste, oui, elle a été choisie parmi une multitude de pierres d'attente. Y en a énormément. Par contre, une fois la cinq décryptée, vous n'aurez aucun doute sur le choix de la bonne pierre."
73,FAQ12-73,"Quand vous dites qu'il ne vaut mieux pas s'asseoir sur la pierre d'attente, est-ce que vous parlez au sens propre ?","Vous pouvez vous asseoir sans rien risquer sur la pierre d'attente, mais c'était plutôt au sens figuré, car il n'est jamais de bonne augure de s'asseoir dessus."
74,FAQ12-74,Combattre le mal n’est pas qu’un affrontement envers nous-mêmes ? ,"Il y a un vrai affrontement, un vrai combat."
75,FAQ12-75,Est-ce que vous parlez au niveau historique [ndr: par rapport au combat contre le mal] ?,"Historique, c'est un bien grand mot, mais l'affrontement en lui-même n'est pas imaginaire. C'est un affrontement qui est bien réel, même documenté. Qui a été longuement et abondamment commenté en tout cas."
76,FAQ12-76,La pierre d'attente a-t-elle été utile à une cérémonie funéraire ?,Je ne peux pas répondre à cette question.
77,FAQ12-77,Les runes du visuel deux ont-elles un lien graphique avec l'élément perturbateur ?,Je ne peux pas répondre à cette question qui est trop précise.
78,FAQ12-78,"Les lettres rouges du poème, les lettres rouges de l'indice, la phrase en rouge dans deux énigmes ainsi que les chiffres vont-ils ensemble pour une même crypto ?","Oui, en effet, la couleur rouge a une cohérence globale qu'il faut déterminer à un moment important du jeu."
79,FAQ12-79,L’arbre de l'illustration un a-t-il déjà été utilisé pour des constructions importantes telles que des temples ?,La réponse est non.
80,FAQ12-80,Sommes-nous à un moment précis guidés vers Thulé ? Devons-nous ouvrir les yeux et voir quelque chose durant ce périple ?,"Là-dessus, je ne peux pas répondre."
81,FAQ12-81,"Après le dernier cercle de l'énigme trois, le dernier ciel dans l'énigme six ?",Je ne dirais pas que c'est le dernier. Je dirais plutôt que c'est le début d'un nouveau ciel.
82,FAQ12-82,Est-il nécessaire d'avoir ou d'acquérir des connaissances supérieures aux bases apprises au collège par exemple ?,"Oui, ça me semble nécessaire."
83,FAQ12-83,"Les quatre cavaliers de l'échiquier sont-ils des points à placer sur une carte qui doivent former un carré, ou un losange et être équidistants ?","Là-dessus, je ne peux pas répondre malheureusement."
84,FAQ12-84,Le poème nous fait-il traverser les siècles en nous racontant une histoire ?,"Oui, tout à fait. Le poème vous raconte une histoire qui s'échelonne sur un temps assez long."
85,FAQ12-85,Décrypter 3C64 nécessite-t-il d'accéder à un savoir encyclopédique ?,"Non, pas du tout."
86,FAQ12-86,Nous conseillez-vous de nous intéresser à la ville de Boston ?,"Je ne peux pas répondre, c'est trop précis."
87,FAQ12-87,"“Vos premiers guides”, si vous utilisez la notion de “premiers guides”, cela implique-t-il que des seconds guides apparaîtront plus tard ? Et si oui, devrais-je fonctionner de la même manière qu'avec les premiers guides ?","Sur la première partie, oui, sans doute. S’il est fait mention de premiers guides, c'est surement, parce que d'autres suivront. Sur la seconde question, je ne peux pas répondre."
88,FAQ12-88,Connaître l'endroit très précis où se trouve le personnage sur le visuel un a-t-il une importance ?,Non.
89,FAQ12-89,Avons-nous rencontré un ou des éléments constitutifs de la Trinité avant d'aborder INRI ?,"Oui, tout à fait."
90,FAQ12-90,"En FAQ 11, vous avez dit que pour résoudre l’échiquier, il fallait chercher d'autres éléments textuels dans les énigmes ou tout le parchemin. Il y a six pièces qui ont été bougées sur l'échiquier. Il y a six énigmes numérotées. Est-ce un hasard ? De plus, même s'il y a six pièces qui ont été bougées à l'instant où l'on regarde, y a-t-il six coups joués ? Moins ou plus ?","Sur le hasard, je ne pourrais pas vous dire, mais je vous confirme en effet que six coups ont bien été joués."
91,FAQ12-91,"Deux fanions se trouvent dans l'illustration quatre, rouge et blanc. Est-ce que le nom “drapeau” est le plus adapté ou devrait-on plutôt parler de “pavillon” ?","Non, fanion c'est bien. Le terme d'étendard aussi me paraît correct. Ce n'est pas d'une importance cruciale. Mais les deux termes sont bons."
92,FAQ12-92,Concernant le jeu de Faro: doit-on s'intéresser à l'autre nom de ce jeu pour nous orienter ?,Je ne peux pas répondre parce que l'élément auquel vous faites allusion n'est pas en clair.
93,FAQ12-93,"Pour nous aider dans son utilisation [ndr: le jeu de Faro], doit-on s'intéresser à un autre Comte et d'un bateau ou aux origines de ce jeu ?",Je peux pas répondre.
94,FAQ12-94,La conquête de l'Ouest rime avec Faro dans les casinos de l'époque. Me conseilleriez-vous fortement de regarder dans cette direction ?,"Pour le coup, la conquête de l'Ouest me semble un peu anachronique. Donc non, je vous conseillerais pas particulièrement de pousser cette piste."
95,FAQ12-95,"Peut-on être mené vers la pierre d'attente dans un monde parallèle grâce à des repères géographiques indiqués par le mal jumeau ? Par exemple, dans un monde où on pourrait voyager du lieu A au lieu B. Tandis que dans son monde parallèle, le trajet serait du lieu A prime au lieu B prime.","La notion de report de repère, de tracé, oui, me semble intéressante à explorer dans le cadre de la chasse. Mais sans doute pour d'autres aspects du jeu. Et je ne parlerais pas forcément de mondes parallèles."
96,FAQ12-96,Est-il intéressant de revenir sur l'échiquier vers la fin une fois certains rapprochement fait avec des pièces du jeu et notre cheminement pour que tout s'éclaire ?,Je ne peux pas répondre à cette question.
97,FAQ12-97,Un animal aquatique peut-il nous aider à trouver un élément de l'Elixir ?,Alors il ne pourra pas vous aider. Mais il y a bien un animal aquatique dans le jeu.
98,FAQ12-98,Ce lieu qui m'est familier peut être considéré comme une sorte de jumelage ? Comme il en existe toujours de nos jours entre villes ou villages ayant des liens historiques ou autres.,"Oui, c'est possible. Le lieu peut en effet être familier de plusieurs façons, y compris de celle-là."
99,FAQ12-99,Y a-t-il une question qui vous paraît évidente pour avancer dans le jeu mais qui ne vous a jamais été posée ?,"Oui, plusieurs. Mais je n'aurais sans doute pas pu y répondre. Donc ça aurait pas forcément fait beaucoup avancer les choses."
100,FAQ12-100,"Enigme quatre, la charade a une solution unique. En est-il de même pour les différents items ou peuvent-ils avoir plusieurs réponses selon le fil rouge choisi ?","Oui, les items ont une solution unique lorsqu'on suit la bonne piste. Oui, tout à fait."
101,FAQ12-101,Les premiers guides sont-ils plus à considérer de manière “guides spirituels” car ils ont réellement existé ? Donc ils servent de manuel d'enseignement à suivre ?,"Alors là-dessus, je pourrais pas répondre."
102,FAQ12-102,"Pour rencontrer [les premiers] guides et apprendre à les connaître, y a-t-il des conditions préalables, comme par exemple être un chevalier, ou est-ce accessible à qui le souhaite ?","A priori, c'est accessible à tout le monde."
103,FAQ12-103,"Parmi les expressions suivantes, lesquelles vous sembleraient pertinentes dans la chasse ? Petit a, jeter de l'huile sur le feu ? Petit b, mettre de l'eau dans son vin ? Petit [c], remuer ciel et terre ? Ou petit d, n'avoir l'air de rien ?",Je répondrais Petit B: Mettre de l'eau dans son vin.
104,FAQ12-104,"La Trinité est-elle accompagnée ou en lien avec un quatuor ? Et si oui, sont-ils de même nature Trinité et quatuor ?","Non, la Trinité est unique. Et elle n'a pas d'équivalent. Voilà ce que je pourrais dire."
105,FAQ12-105,"Le cheval de Troie à une ouverture, mais où est passée sa trappe ?","Non, ce n’est pas important."
106,FAQ12-106,"La couleur des rochers du visuel cinq est différente, grise pour les uns et beige pour les autres. Et l’un des petits palmiers du visuel cinq semble avoir un tronc inexistant couleur terre. Liberté de l’artiste ou respect du cahier des charges ?",Liberté de l'artiste.
107,FAQ12-107,Le personnage barbu aurait-il pu lâcher l’épée ailleurs dans le visuel cinq ?,"Ailleurs sur le chemin: oui. Mais il était important qu'il la lâche, on va dire, au seuil, à l'approche du bâtiment uniquement."
108,FAQ12-108,"Dans l'énigme six, la lueur qui brille dans le noir pourrait-elle être qualifiée d'étincelle et/ou de reflet ?","En effet, une étincelle me semble assez proche. Donc oui."
109,FAQ12-109,"Quand vous dites qu'il ne vaut mieux pas s'asseoir sur la pierre d'attente, vous parlez par superstition ou au sens propre ?","Du coup, plutôt par superstition, au sens figuré."
110,FAQ12-110,La découverte du cheval vert a-t-elle quelque chose d'insolite ?,"Non, je n'emploierais pas le terme d'insolite."
111,FAQ12-111,Devons-nous trouver une quatrième entité qui soit différente du quêteur ?,Je ne peux pas répondre à cette question.
112,FAQ12-112,"J'étudie un peu les différentes méthodes de déchiffrement. [...] Là, je m'informe sur la machine Enigma et le chiffre de Hill qui me paraissent un peu complexe. Dois-je persévérer ? Ou alors il n'y a pas besoin de sortir de Saint-Cyr pour résoudre des cryptos de la chasse ? ","Je vous comprends tout à fait. Puisque j'ai eu beaucoup de mal à comprendre aussi comment fonctionnait les rotors de la machine Enigma. Ça me parait très complexe. Donc, ce que je pourrais vous dire c'est que les cryptos utilisés ne sont pas des cryptos inconnus ou niche. La chasse fait vraiment la part belle à des cryptos très classiques pour cet aspect du jeu, pour justement ne pas favoriser les experts en cryptographie. Mais je vous invite quand même à vous renseigner sur les méthodes de base, sur les méthodes les plus importantes de l'histoire de la cryptographie. Parce que la chasse comporte quand même de la crypto."
113,FAQ12-113,La chambre cachée est-elle spéciale à cause de la décoration murale et en lien avec les hiéroglyphes de l’illustration deux ? L'objet à trouver dans la chambre cachée est-il encore présent actuellement dedans ou se trouve-t-il ailleurs ?,"Oui, l'élément y est toujours. Après, je ne peux pas dire en quoi la chambre est spéciale. Ca donnerait un peu trop d'indices."
114,FAQ12-114,La chambre cachée a-t-elle été fermée pendant une longue période pour sa préservation et sa restauration ?,"Je n'ai pas les informations exactes, mais c'est très probable. Oui."
115,FAQ12-115,"Concernant la pièce à trouver, est-il possible de la trouver uniquement par les énigmes ?","De toute façon, il n’y a que les énigmes, donc oui. En sachant évidemment que les énigmes comme sur d'autres éléments du jeu, pas forcément sur la pièce d'ailleurs, mais vous invitent à faire des recherches documentaires, donc à sortir du parchemin. Donc oui, tout à fait."
116,FAQ12-116,"Vous nous parlez de ""zone"". Pouvez-vous nous préciser ce que vous entendez par ""zone"" ? D'une façon générale, est-ce une surface de la taille d'une grande ville ? Ou plutôt d'une commune, d'un département ?","Pour moi, c'est assez restreint, ça ne va pas dépasser la taille d'une commune. Ça serait même plus petit que ça. Parce que c'est vraiment le lieu où vous devez progressivement arriver vers un pile-poil quand même déjà assez resserré."
117,FAQ12-117,"Pour que l'oeil des ténèbres luisent dans le noir, de manière non imagée, est-ce une bonne idée d'allumer ses chandelles ? Et si je recherche de quelle manière est constituée cet œil, celui qui a découvert cette matière, arriverais-je à trouver un lien avec l'alchimie qui serait une sorte de confirmation ?","Non, vous n'avez pas besoin d'une action particulière à mener à ce moment là. Et la deuxième partie, je préfère ne pas répondre."
118,FAQ12-118,"Peut-on dire que dans le déroulé du jeu, une couleur nous manque et que c'est à nous de la trouver ?",Je vous laisse répondre à cette question.
119,FAQ12-119,"Concernant le fil rouge, vous avez souvent utilisé l'expression “selon le fil rouge que vous avez choisi”, c'est-à-dire qu'il peut y avoir plusieurs fils rouges ?","Il peut y avoir plusieurs fils rouges, évidemment. Le Comte a tendu pas mal de pièges qui peuvent se suivre sur plusieurs énigmes, jusqu'à un stade assez avancé à la manière d'une métaphore filée. Ce que je pourrais vous dire c'est par contre, il n’y a qu'un seul bon fil rouge, évidemment, pour avancer dans le jeu.
"
120,FAQ12-120,[...] Peut-il y avoir plusieurs chemins pour arriver au coffre selon le fil rouge choisi ?,"La réponse est non. Et en effet, comme vous dites, plutôt un seul chemin que vous allez comprendre si vous avez le bon fil rouge. Et vous pourriez comprendre d’autres choses avec un autre fil rouge, mais ça ne serait pas le bon choix."
121,FAQ12-121,Les éléments rouges du testament doivent-ils constituer notre fil rouge ?,Je ne peux pas répondre à cette question.
122,FAQ12-122,Peut-on dire que 3c64 est incomplet ?,Cela vous donne une information exhaustive sur le cheval à choisir. C’est tout ce que je peux vous dire. En sachant évidemment que le cheval choisi n'est pas une finalité forcément en elle-même. Donc toujours un peu incomplet on va dire au regard de l'énigme dans son ensemble.
123,FAQ12-123,Peut-on dire que le dernier cercle englobe tous les premiers cercles ?,"C'est une très bonne question. Je pense que vous avez la réponse, mais je préfère ne pas répondre à cette question."
124,FAQ12-124,"Même si le Comte a un rapport au temps particulier, peut-on considérer qu'au moment où il a rédigé le parchemin, il n'avait accès qu’aux outils matériels (je ne parle pas des connaissances) de son temps ?","Hormis Google Maps, on va dire, oui le Comte a, en effet, accès aux techniques de son temps et donc il n’y aura pas a priori d’anachronismes là-dessus."
125,FAQ12-125,"Depuis la dernière FAQ, je pense que vous avez eu le temps d'écouter une partie du répertoire de France Gall et de Jacques Brel. Je retente donc ma chance: certaines de leurs chansons peuvent-elles faire écho avec l’Élixir d'Or ? Je pense à une pour chaque.","Tout à fait. Je connaissais un peu en partie. Je suis fan de chanson française, mais pas dans le détail on va dire. Je suis en effet allé me documenter aujourd'hui sur le répertoire intégral des deux artistes. Pour France Gall, je n'en ai pas trouvé. Je ne connais pas les paroles de toutes les chansons, donc je me suis contenté des paroles des chansons que je connaissais et des titres des autres chansons. S'agissant de Jacques Brel, par contre, on parle bien de faire écho, donc pas forcément de donner un détail. Je n'ai pas utilisé Jacques Brel pour créer les énigmes, mais “ça va”, “le Chevalier au miroir” et “les prénoms de Paris”, “Les prénoms de Paris” qui est d'ailleurs une très belle chanson, si vous le connaissez pas, je vous conseille de la réécouter, oui peuvent faire écho à l'Elixir d’Or."
126,FAQ12-126,Faut-il garder la trinité à portée de vue lorsqu'on plante la pelle ?,Je ne peux pas répondre à cette question.
127,FAQ12-127,"Dans le cadre de la chasse, selon vous, lors d'une dégustation de vin, le plus important, c'est : Petit a, de le sentir ? Petit b, de savoir le déguster ? Petit c, de savoir le servir ? Petit d, d'en faire profiter les autres ? Petit e, de savoir le confectionner ? Petit f, de connaître sa composition ? Ou petit g, peu importe, dans le cadre de la chasse ça n'a pas grand intérêt ?","Pour la chasse, je dirais que le plus important, c'est petit a et petit f. Donc le sentir, et connaître sa composition. Et puis, pour après la chasse, quand on a trouvé le trésor, évidemment d'en faire profiter les autres. Donc réponse d."
128,FAQ12-128,Vous avez dit dans l'illustration cinq le personnage déposait l’épée car il n'en était pas digne. Est-ce donc un passage obligé dans la chasse ? Aurait-on pu éviter tout cela en nous montrant digne plus tôt ?,"Non, vous devez passer par là. En effet, on peut considérer que c'est un passage obligé."
129,FAQ12-129,Peut-on avoir découvert notre allié précieux avant d'avoir été digne ?,"Si vous le découvrez, encore mieux si vous faites appel à lui, c'est à priori que vous en êtes digne, sinon vous n'auriez pas l'idée."
130,FAQ12-130,La relique proche du mal jumeau est-elle de même nature que notre première relique ?,"En effet, les autres reliques à trouver, s’il y en a d'autres, oui elles seront de même nature. La définition de relique ne changera pas."
