,,Question,Réponse
65,FAQ8-65,"Diriez-vous qu'un bon joueur d'échecs par rapport à un joueur débutant qui connaît les règles a plus de chances, moins de chances, les mêmes chances de résoudre l'échiquier?","Il n'y a pas besoin de savoir très bien jouer aux échecs pour résoudre l'Élixir d’Or. Par contre, évidemment, si il y a un échiquier, ça peut vous donner l'idée d'en apprendre un peu plus sur la théorie échiquéenne. Et en effet, un bon joueur théorique a un avantage, un petit avantage, par rapport à quelqu'un qui serait complètement novice sur l'univers des échecs."
66,FAQ8-66,"Dans l'illustration 5, pouvez-vous préciser combien y’a-t-il de marches dans l'escalier qui monte au bâtiment? 12, 13?",Il y en a entre dix et quinze à peu près. Il n'y a pas besoin d'avoir un nombre précis.
67,FAQ8-67,"En rapport avec les différentes langues dans lesquelles la chasse est traduite. Se peut-il toutefois que lors de nos recherches et décryptages nous puissions tomber sur le nom d'un lieu qui sont en lien direct avec l’énoncé de l’énigme mais dans sa version française? Par exemple, imaginons que l'énigme comporte le mot “étrange” et que nous tombions sur un lieu s'appelant “Étrange”. ","Donc si c'est dans la version  française, non, car un joueur anglais n'a pas forcément accès aux énigmes en français. Donc si c'est uniquement dans la version française, je vous réponds que non."
68,FAQ8-68,"Sur l’illustration 2, nous ne voyons pas l'adversaire aux échecs de notre personnage. Cette invisibilité est-elle due à la nature même de l'adversaire?","Ça, je ne peux pas répondre."
69,FAQ8-69,L'enjeu de cette partie d'échecs engage-t-elle uniquement l'avenir de notre personnage ou celui d'un groupe plus large?,Uniquement celui du personnage.
70,FAQ8-70,L'adversaire mystérieux est-il lié au personnage cornu de l'illustration 3 et à notre templier de l'illustration 1?,"Pareil, je ne peux pas  répondre à cette question."
71,FAQ8-71,"Vous dites pour le mal jumeau qu’il faut regarder par l'ouverture. Cette ouverture n'est pas toujours ouverte. Au temps présent, elle a tendance à rester la plupart du temps ouverte, malheureusement. Êtes-vous d'accord?","Alors l'ouverture ne bouge pas. Par contre, l'autre trésor a pu bouger, même dans l histoire très récente. Voilà ce que je pourrais vous dire."
72,FAQ8-72,Peut-on penser que le conte prend sa réelle mesure de conte à partir de notre découverte du mal jumeau où notre personnage part sur des chemins pour lesquels il n'est pas connu historiquement?,"Je ne pense pas, je ne pense pas."
73,FAQ8-73,Peut-on trouver le surplus de la grappe sans avoir trouvé la grappe?,Oui vous pouvez.
74,FAQ8-74,"En zoomant juste un peu sur la carte de France, peut-on apercevoir la grappe sans avoir besoin de lever les yeux vers le haut?","Ça, je ne pourrais pas... je ne pourrais pas vous répondre. Impossible."
75,FAQ8-75,Est-ce que les lettres rouges du poème auraient pu être dans une autre strophe?,C’est une très bonne question et la réponse est non.
76,FAQ8-76,Est-ce que la grappe à trouver est à trouver parmi les quatre représentés sur l’image 1?,Non.
77,FAQ8-77,"Concernant l'illustration 4, les petites étoiles scintillantes représentées auraient-elle pu être disposées différemment?","Oui, tout à fait. Elles auraient pu."
78,FAQ8-78,"Concernant l'illustration 5, peut-on y voir un dé 3?","Alors “dé”, plus loin, chiffre 3. Est-ce que vous pouvez préciser s'il s'agit d'un “détroit” dans le langage maritime, un “D” avec le chiffre 3 ou “un des trois”? Si il y a par exemple 3 personnes pour que je puisse vous répondre?"
79,FAQ8-79,Y’a-t-il une référence au nombre d'or dans la chasse?,"Ça, je ne peux pas, je ne peux pas vous répondre."
80,FAQ8-80,"Sur l'échiquier, le noir, le blanc pour les pions, le vert, le rouge pour les cavaliers, confirmez-vous ces couleurs?","Oui, je les confirme."
81,FAQ8-81,Est-ce intéressant d'en trouver d'autres (couleurs) au fil des énigmes?,Tout à fait.
82,FAQ8-82,Vous précisez dans la FAQ 7 que les vignes de l'illustration 1 auraient  pu être dessinées autrement. Parlez-vous des vignes de droite ou celles de gauche?,Je parle des deux.
83,FAQ8-83,"Sur l’illustration 3, la bête à cornes et le personnage auraient-ils pu être représentés dans des positions inversées?","Oui, mais c'est mieux dans ce sens là."
84,FAQ8-84,Est-ce que le personnage des illustrations connaît le Comte de Saint Germain?,"Oui, il le connaît."
85,FAQ8-85,"Selon vous, peut-on dire qu'une zone géographique soit palpable?","Pas vraiment. Non, c’est pas palpable"
86,FAQ8-86,L’emploi du T majuscule de “Tu vois” dans le chapitre FIN était-il nécessaire?,"Oui. Oui, oui, oui c'était nécessaire."
87,FAQ8-87,Faut-il se servir de la référence de la pierre cubique à pointe et de sa relation au nombre d'or pour des tracés?,Je ne pourrais pas répondre à cette question.
88,FAQ8-88,"Disons que j'ai compris le fil rouge de la chasse, est-ce que je le retrouve dans chaque décryptage, chaque date ou chaque lieu découvert?","Dans tous, non pas nécessairement. Mais le fil va vous aider, on va dire, dans les choix majeurs, à ne pas dévier, à rester toujours dans le bon chemin. Donc, en effet, quand il arrive un moment où il faut trancher, le fil rouge peut vous accompagner et vous être utile."
89,FAQ8-89,"En rouge IV, donc en chiffres romains “I” “V”, aurait-il pu s'écrire IIII, avec quatre “I”?","Oui, ça aurait pu s'écrire ainsi. D'ailleurs, en horlogerie, ça s'écrit de temps en temps, souvent comme ça. "
90,FAQ8-90,La relique est-elle à joindre aux éléments rouges?,"Je ne peux pas répondre à cette question."
91,FAQ8-91,"Hello, ayant commencé très récemment, je voulais juste être sure, l’énigme 2 sert à résoudre la 3, la 3 aide à la 4 et ainsi de suite?",Pas forcément. L'imbrication des énigmes entre elles est à votre discrétion. Donc à vous de voir.
92,FAQ8-92,"Dans l’énigme 5, selon l'histoire que j'ai dans la tête, plusieurs illustrations sont mises en avant. Ai-je tord?","Non, vous avez pas du tout forcément tord. C'est tout à fait possible."
93,FAQ8-93,La croix sur l'épaule droite du personnage est-elle une erreur historique volontaire?,"J'imagine que vous faites référence à l'illustration 1. Non, il ne s'agit pas d'une erreur historique."
94,FAQ8-94,"“elles sont trinités”, sont-elles visibles sur Google Maps?","Impossible de vous répondre, mais c'est une très bonne question à se poser."
95,FAQ8-95,"Dans l’énigme 1, est-il question d'un cépage ayant disparu de Bourgogne?",Il ne s'agit pas d'un cépage disparu.
96,FAQ8-96,Est-ce que la grappe était intègre il y a un an?,Oui.
97,FAQ8-97,Est-ce que le bonus de la grappe est en France ou à l'étranger?,"C'est possible que ce ne soit pas en France, contrairement à la grappe qui, je vous le confirme, est bien en France."
98,FAQ8-98,"Sur le visuel 2, la position de la plume et du rapporteur aurait-elle pu être intervertie?",Non.
99,FAQ8-99,"Depuis quelques mois, vous avez mis en place un système de validation de solution par mail, avez-vous reçu des propositions se rapprochant à moins de dix kilomètres du lieu final?","Ça, je ne peux pas vous répondre. Ça aiderait énormément les joueurs qui m'ont envoyé leurs solutions depuis le début."
100,FAQ8-100,Le personnage pourrait-il être un chevalier?,Je ne peux pas vous dire.
101,FAQ8-101,Les racines de l'arbre auraient-elles pu être agencées différemment?,Oui.
102,FAQ8-102,"Vous avez dit dans la dernière FAQ que les réponses de chaque point de la charade sont identiques dans chaque langue. Comment avez-vous interprété le terme “réponse” des points de la charade? Il est possible dans une charade de ne retenir dans les réponses que les premières lettres ou syllabes qui peuvent être identiques dans chaque langue, mais pas le mot dans son entier. Par exemple bain en français et bano en espagnol deux mots différents mais premières syllabes ba identique.","Oui, oui. Donc j'ai interprété le mot réponse comme ce qui sert à la concaténation finale et donc uniquement ce qui sert au résultat de la charade."
103,FAQ8-103,Est-ce que 1024 est un nombre inspirant pour la chasse?,"Non, pas spécialement."
104,FAQ8-104,"A propos de notre mystérieux personnage, vous semblez dire que nous le connaissons, mais est-ce qu'on le connaît forcément avec sa barbe ou l’a-t-il laissé pousser pour l'occasion?","Non, vous ne le connaissez pas par sa barbe spécialement, particulièrement."
105,FAQ8-105,Pouvons-nous trouver le trésor en faisant l'impasse sur l'identité du barbu?,"C'est comme d'autres éléments, oui vous pouvez prendre des raccourcis, mais ils ne sont pas énormes dans le jeu. Ou vous pouvez aussi avoir de la chance et avoir des hypothèses qui, en s'additionnant, sont toujours les bonnes sans que vous en ayez les fondements qui vous ont permis de le vérifier. Mais c'est quand même très hasardeux et tout ce que vous ne trouvez pas parfaitement réduit forcément vos chances à un moment d'avoir des déclics lors des moments cruciaux. Voilà ce que je pourrais répondre."
106,FAQ8-106,Croise-t-on un poirier lors de notre périple?,Non pas dans mes souvenirs.
107,FAQ8-107,"Vous dites dans la dernière FAQ que tous les tracés à effectuer seront précisé et qu'il n'y en a pas d'autres supplémentaires à imaginer. Pour autant, comment tracer un dernier cercle sans en avoir tracé d'autres auparavant?","En effet, il n'y a qu'un dernier cercle à tracer. Donc, vous pouvez le tracé sans en avoir tracé avant et considérer que, par contre, les cercles précédents vous ont aidé à trouver le rayon, à faire le bon calcul et à trouver ce dernier cercle qu'il faut uniquement tracer."
108,FAQ8-108,Les deux lignes obliques sur le miroir dans l'illustration 4 sont-elles une liberté de l'artiste?,"Oui. Oui, tout à fait. Ça ne faisait pas partie du cahier des charges, je vous le confirme."
109,FAQ8-109,Vous avez indiqué que le rapporteur indiquait environ 18 degrés. Suis-je dans le faux si j'annonce que la première relique que nous devons trouver nous aide à trouver ces 18 degrés.,"Non, ce n'est pas la première relique, non."
110,FAQ8-110,"Question zoologie porcine, trouvez-vous judicieux d'établir une alimentation à base de fleurs de couleur rose pour des animaux parqués?",Alors pas du tout. Et pas sûr que ce soit d'ailleurs plus digeste pour les oiseaux d'ailleurs.
111,FAQ8-111,Est-ce que la monnaie de la pièce roule?,"Est-ce que vous vous demandez si la pièce est de forme circulaire? Est-ce que c'est bien ce que je comprends de la question? Sinon, je vous invite à préciser. Si c'est ça la question: oui, la monnaie de la pièce roule."
112,FAQ8-112,"C64 peut-il concerner aussi l'illustration 1? Pour cette même illustration, est-ce que le mot “signal” vous parle?","Non et non, non."
113,FAQ8-113,"A la question est-ce que le mal de la 3 est différent de la 4, vous répondez qu'il est distinct mais de même nature. Plutôt nature morale? Nature physique? Ou nature philosophique?","Alors nature physique d'abord et tout de même, dans un second temps, nature morale et philosophique."
114,FAQ8-114,Vous avez dit que le trésor et l'autre trésor étaient de même nature. Est-ce plutôt de nature royale ou liturgique?,"Alors, c'est une très, très bonne question, mais je ne peux pas y répondre. Elle est très précise."
115,FAQ8-115,"Dans la FAQ 7, vous dites que le mal a marqué physiquement notre personnage, comme il pourrait tous nous marquer. Vous parliez plutôt d'une trace corporelle ou psychologique?",Les deux.
116,FAQ8-116,Êtes-vous d'accord avec la citation d'Alexandre Dumas “L'heure qu'on donne à Dieu ne se partage pas”?,Je suis d'accord avec cette citation de Dumas.
117,FAQ8-117,"Le lierre de la connaissance aurait-il été planté en 1098 et dessiné quelque temps après, une fois adulte, en 1776?","1098, non. Il s’est passé beaucoup de choses en 1098, mais il n'y a pas eu de lierre de la connaissance qui a été planté."
118,FAQ8-118,"Vous disiez qu'il pourrait être intéressant d'avoir un regard d'enfant. Même si je n’en ai plus l'âge, me conseilleriez-vous de me pencher sur la littérature jeunesse?","Il n'y a pas d'âge, vous savez, pour relire des bandes dessinées ou autres. Mais c'est vrai que dans le cas d'Élixir d'Or, ça peut ne pas être 100% utile en effet."
119,FAQ8-119,"Pour déterminer l'identité du personnage peut-on s’aider d'éléments qui nous indiquent une époque tels que le jeu du Faro, la croix des Templiers, la sphère armillaire, et cetera? Ou peut-on s'affranchir d'une quelconque cohérence temporelle?","Vous ne pouvez pas vous affranchir de la logique, de la rationalité ou même d'une certaine cohérence. Après, je ne peux pas répondre précisément, mais en tout cas, il y a une logique à poursuivre."
120,FAQ8-120,Est-ce que le mal l’est surtout pour la vigne?,Non.
121,FAQ8-121,"Admettons que je dois trouver un chevalier de Saint-Georges, serait-il une connaissance du chevalier d'Éon?",Beaucoup trop précis. Je ne pourrais pas répondre à cette question.
122,FAQ8-122,"Dans l'éventualité où j'aurais une source cinématographique adaptée d'un roman devrais-je privilégier le roman, le film ou ça n’aurait pas d’importance?","Non, ça n'aurait pas d'importance. Souvent, les deux sont très bien comme ceux d'Umberto Eco."
123,FAQ8-123,"Dans l'énigme textuelle 3 à propos de “Porte ton regard au loin”, faut-il choisir une direction ou un rayon horaire à ce moment là?","Il faut simplement se dire qu'on va aller loin et qu'on va dépasser des premiers cercles. Mais évidemment, dans l'énigme textuelle 3,  il y a tout qui vous est donné pour trouver la mesure, pour trouver le calcul qui va vous permettre d'arriver au bon endroit"
124,FAQ8-124,Doit-on identifier le narrateur du poème? Son nom est-il important ou seule sa fonction importe?,"Le narrateur, c'est le Comte de Saint-Germain, tout comme le reste des énigmes et le testament."
125,FAQ8-125,"Le lien entre le poème et les énigmes peut-il se comprendre dès le début ou au contraire, peut seulement se comprendre de manière intermédiaire après avoir résolu, disons, la moitié des énigmes?","C'est bien d'avancer un peu pour comprendre les premières imbrications. Et ensuite, les liens vont se renforcer, vont se dévoiler à mesure que votre progression dans le jeu se poursuit."
126,FAQ8-126,Est-ce que tous les chevaliers sont de même nature?,Oui.
127,FAQ8-127,"L'abus d'alcool est dangereux pour la santé, mais l’abus de FAQ est-il dangereux pour: A - Votre santé, B - L'Élixir d'or, C - La santé de Raven, D - A, B, C et donc D.","Je vais clairement dire la réponse D. Et je pense évidemment à Raven qui commence a peut-être saturer. Je ne sais pas, il parlera pour lui même, mais il y a beaucoup de questions. Donc il y a beaucoup de montage aussi. Qui va nous attendre."
128,FAQ8-128,L’oiseau de l'énigme 1 posé sur la croix pourrait-il regarder de l'autre côté sans que ça n'impacte la résolution de la chasse?,"Oui, tout à fait."
129,FAQ8-129,"Concernant la grappe, quand vous dites qu'elle n'est pas palpable, ça veut dire qu'on ne peut pas la toucher en étant debout sur nos deux jambes? La grappe est-elle située sur un bâtiment? La grappe ressemble-t-elle à une grappe de raisin?","La première question: oui on ne peut pas la toucher en étant debout sur nos deux jambes. La seconde question: je ne vais pas y répondre. Et la troisième: En effet, la grappe ne ressemble pas à une grappe de raisin, on va dire traditionnelle."
130,FAQ8-130,"Est ce qu'un individu, les pieds au sol, sans moyens technologiques, peut voir la plus grande partie de la grappe dans son entièreté?",Non.
131,FAQ8-131,"Ce que représente éventuellement les pièces d'échecs (symboliquement, par exemple) est-il important pour résoudre l'échiquier?","Oui, tout à fait."
132,FAQ8-132,"Étant donné que le Comte a écrit le testament et les énigmes, est-ce que toutes les références de la chasse sont antérieures à 1784 ou y’a-t-il des anachronismes?","Normalement vous le devinerez, vous le découvrirez par vous-même. Donc je vais vous laisser progresser sur cette question."
133,FAQ8-133,"“Sors l'épée”: s'agit-il de celle des illustrations? Doit-on la forger, la trouver ou nous est-elle donnée d'entrée de jeu?","Je ne vais pas répondre à la première question, mais vous avez l'épée en  votre possession à ce moment et vous ne l'aviez pas en début de jeu."
