,,Question,Réponse
32,FAQ14-32,Illustration quatre : le fait que le sarcophage soit légèrement penché est-ce une interprétation de l'artiste ou bien cahier des charges ?,C'est une liberté de l'artiste. Ça ne fait pas partie du cahier des charges. Bien que le fait qu'il y ait un sarcophage sur ce visuel en fasse partie.
33,FAQ14-33,L'un des quatre cavaliers est-il un chevalier errant ?,Je ne peux pas répondre à cette question.
34,FAQ14-34,Le fait de relier les cendres contribue-t-il à une sorte de mise en garde ?,"Non, ça ne fait pas partie d'une mise en garde. Ça fait partie du chemin principal par lequel vous devez résoudre la chasse."
35,FAQ14-35,La montagne du visuel trois a-t-elle un lien avec le mal de l'énigme trois ?,Je ne peux pas répondre à cette question. Il est bien précisé dans le cahier des charges qu'il y a une montagne sur le visuel trois avec une croix en feu.
36,FAQ14-36,Le personnage a-t-il un rapport direct avec la pièce ?,"Non, il n'a pas de rapport direct avec la pièce."
37,FAQ14-37,Le maître à la bataille a-t-il vécu la même expérience que Blanche-Neige ?,"Non, pas du tout."
38,FAQ14-38,"Est-ce que le visuel six est le plus difficile à déchiffrer ? Est-ce que par la même occasion, pourriez-vous nous donner un coup de main à voir ce qu'il ne peut pas être vu ?","Je pense que le visuel six est l'un des plus simples à déchiffrer, contrairement à l'énigme écrite numéro six."
39,FAQ14-39,"Si je vous dis ""ralliez vous à mon panache blanc, vous trouverez le chemin de la victoire et de l'honneur"".",Oui ça me parle. Mais ça me parle de façon personnelle. Pas forcément en lien avec la chasse de l’Élixir.
40,FAQ14-40,"Passent les jours, passent les mois, et le barbu est encore inconnu de beaucoup d'entre nous. Mériterais-je une médaille si je vous disais que j'ai découvert son identité ?","Non, pas au sens propre. Vous ne mériteriez pas de médaille."
41,FAQ14-41,"Quand le personnage barbu n'utilise pas sa carte du visuel un, la garde-t-il tout le temps roulée ou tout le temps pliée ?",Ça n'a pas d'importance.
42,FAQ14-42,Le fil rouge est-il obligatoirement relié à un contexte historique défini ou alors étant plus général il peut s'en affranchir ?,Le fil rouge peut s'affranchir du contexte historique défini par la vie du Comte de Saint-Germain.
43,FAQ14-43,"D'après ma résolution, deux items de la charade débouchent au final sur un même élément. Cela est-il possible ? Ou suis-je dans la mauvaise voie ?",Ce n'est pas possible. Vous ne pouvez pas trouver le même élément à travers deux items de la charade.
44,FAQ14-44,"Les entités de l'énigme deux nous saluent, plutôt d'un salut fraternel style accolade ou d'un salut religieux ?",Il ne s'agit pas d'un salut religieux.
45,FAQ14-45,Le lierre de la connaissance s'inscrit-il dans le déroulement d'un rituel ou bien dans l'exercice d'une discipline ?,"Ni l'un ni l’autre. Le lierre de la connaissance a une définition très précise et même très concrète, qui va vous permettre d'identifier des lieux."
46,FAQ14-46,"Pour le trésor à trouver, la pierre est à déplacer avant de creuser est-elle lourde ?",Je ne peux pas répondre à cette question.
47,FAQ14-47,"En dehors de l'ordre nouveau, puis-je, ou dois-je voir autre chose jaillir dans l'Élixir qui ait un rapport avec la vérité ?","C'est une très bonne remarque, et la réponse est oui."
48,FAQ14-48,Le centre du dernier cercle est-il séparé du mal et du mal jumeau par une frontière ?,"Je ne peux pas répondre à cette question, c'est trop précis."
49,FAQ14-49,Vous avez précisé que c'est la nuit sur certains visuels. Est-ce vraiment la nuit ou est-ce que le soleil a disparu ?,"Non, c'est vraiment la nuit. Le soleil existe toujours."
50,FAQ14-50,Est-ce qu'un ours en peluche puisse être un indice pour le pile poil ?,La réponse est non.
51,FAQ14-51,Le poème permet-il de trouver un blason ?,"Non, il ne vous permet pas de trouver un blason."
52,FAQ14-52,"Dans les FAQs précédentes, vous avez fait part d'une ponctuation importante au niveau de la phrase latine. Est-ce que la position des virgules aurait pu être bougée ?","Non, ça aurait été difficile de bouger quoi que ce soit."
53,FAQ14-53,"Si je vous dis Ezékiel 30:13-19, est-ce que ça vous parle ?",Je ne peux pas répondre à cette question.
54,FAQ14-54,Le crépuscule débute [quand] le soleil descend sous les 18° avec l’horizon. La clarté de l'observation du crépuscule se fait à partir de 12°. Sont-ce des notions à prendre en considération ?,Je ne pense pas que vous soyez sur la bonne voie s'agissant des 18°.
55,FAQ14-55,Nos trois canards ont plusieurs rôles spécifiques. Peuvent-ils [être] également membre d'une équipe de gardiens ? Ou c'est quand même un peu trop de boulot ?,Je pense qu'ils ont déjà un rôle qui est bien précis que vous pouvez identifier. Il n'y a pas besoin d'aller chercher trop loin.
56,FAQ14-56,Apercevons-nous l'accès à la chambre cachée sur une des illustrations ?,Je ne pas répondre à cette question qui est trop précise.
57,FAQ14-57,Confirmez-vous que le poème ne contient que six strophes en seconde lecture ?,"Je le trouve bien plus long qu'il n'y paraît. Le poème ne contient pas six strophes, mais sept."
58,FAQ14-58,L'hexamètre peut-il nous être utile dans le poème ?,"C’est une très bonne question. Le poème est régi par une certaine architecture qu’il convient de bien identifier, qui pourrait vous aider dans la chasse."
59,FAQ14-59,"Il faut une épée pour se battre, mais quid d'un bouclier ?",Vous n'aurez pas besoin de bouclier pour vous battre. Vous aurez besoin d'une épée. Vous aurez besoin de votre force d'âme. Et vous aurez besoin d'une fidèle monture. Et ce sont les trois éléments qui vous permettront de vous délivrer du mal.
60,FAQ14-60,Est-il préférable de s’entrainer physiquement et réellement pour le dernier combat ?,La réponse est non. Vous n’avez pas besoin de vous entraîner physiquement.
61,FAQ14-61,Un écrivain russe peut-il aider dans l'une des énigmes ?,Je ne peux pas répondre à cette question.
62,FAQ14-62,Visuel énigme quatre : pourrait-il être utile de chercher l’endroit dans lequel se trouvent les statues des deux serpents ?,"Les deux serpents font partie du cahier des charges. Après, je ne pourrais pas en dire davantage sur leur utilité et quel angle choisir lors de leur étude."
63,FAQ14-63,"Le lierre croise bien trois autres grappes ni en or, ni perchées ?",Le lierre ne croise pas trois autres grappes.
64,FAQ14-64,"Vous avez dit qu'il n'y avait pas de codes postaux dans la chasse, car cela vous aurait semblé anachronique. Je suppose qu'il en est de même pour des coordonnées GPS ?","Oui, tout à fait."
65,FAQ14-65,Est-il possible que le titre d'au moins deux énigmes ait été inversé ?,"Non, il n'y a pas eu d'inversion des titres des énigmes."
66,FAQ14-66,La visée de la pierre d'attente par chambre cachée passe-t-elle par le lieu familier ?,"Oui, tout à fait."
67,FAQ14-67,"Les cendres reliées passent-elles près du cachemire, du fer et de la jade ?",Ce sont deux notions qui sont très différentes les unes des autres. Donc je ne vous conseille pas de trouver des points communs.
68,FAQ14-68,Dans les précédentes FAQs vous avez précisé que la chambre cachée a été découverte puis redécouverte puis que les fanions du visuel cinq ont été placés [lors] de la redécouverte de cette salle mais que la salle au trésor n'est pas la chambre cachée.,"En effet, la chambre cachée a été découverte, puis redécouverte. Et c'est en effet les fanions du visuel cinq qui ont été placés lors de la seconde découverte de cette salle. Les fanions n'ont en effet aucun rapport avec la salle au trésor. Ils ont été placés. Ils venaient de l'extérieur."
69,FAQ14-69,Rimbaud peut-il m’être utile dans ma quête ?,Je ne peux pas répondre à cette question.
70,FAQ14-70,Des enfants sont-ils morts aussi sur le pic du visuel trois ? Et ceux-ci ont-ils été tués par des proches ?,"Ils n'ont pas été tués par des proches. Il y a eu très peu d'enfants tués. Mais en effet, il y eu beaucoup d'innocents qui ont été tués."
71,FAQ14-71,Est-ce le narrateur qui meurt à la fin de la strophe cinq du poème ?,"Oui, tout à fait. Il s'agit bien du narrateur qui meurt à la strophe cinq du poème."
72,FAQ14-72,Le coup de pouce numéro un peut-il m’être d'une grande aide pour trouver le fil rouge ?,"Non, il ne va pas vous aider à trouver le fil rouge. Il va vous être utile en début de jeu."
73,FAQ14-73,"Dans le visuel un, pourrait-il y avoir une rivière que l’on ne voit pas sur le dessin mais qui en fait implicitement partie ?",Oui c'est possible. Mais je ne pourrais pas vous confirmer ou infirmer.
74,FAQ14-74,"Pour avoir un bon vin, l'assemblage est très important même primordial, peut-on en dire autant pour cette chasse au trésor ?","Oui, tout à fait."
75,FAQ14-75,Un poids monétaire peut-il être utile pour trouver la bonne pièce ?,Ce n'est pas le poids monétaire qui va vous aider à trouver la pièce.
76,FAQ14-76,"Pour l'item quatre de la charade, auriez-vous pu écrire Juive avec un j minuscule ? Ou cela aurait-il été une erreur de français ?","Oui, ça aurait été une erreur de français."
77,FAQ14-77,"Pourrait-on dire que deux pas, deux enjambées séparent les eaux du coffre ?",C'est une très bonne remarque et je ne peux pas répondre à cette question qui est très précise.
78,FAQ14-78,"Après les indices et coups de pouce en latin, français et allemand, le prochain en vieux futhark ?",On verra. Tout est possible. Aucune censure.
79,FAQ14-79,Est-ce qu’on a pu confirmer un ordre concernant les visuels et les énigmes ?,"Non, il n'y a pas eu de confirmation là-dessus."
80,FAQ14-80,Est-ce qu'il serait pertinent de s'orienter la tête à l'envers ?,Je dirais plutôt que non.
81,FAQ14-81,"Vous avez dit dans une ancienne FAQ que la première relique n'a pas de rapport avec le trésor, ce que le gagnant de la chasse va remporter. Mais est-ce que six items en ont un de rapport ?","Oui, c'est possible."
82,FAQ14-82,"Si je vous dit qu'à un moment dans mes recherches, je dois en quelque sorte associer le fanion blanc à U et le rouge à V. Que me répondriez-vous ?",Je ne peux pas répondre malheureusement à cette bonne remarque.
83,FAQ14-83,Est-ce que le code de la chambre cachée sert plusieurs fois ?,"Non, il ne va vous servir qu'une seule fois dans le jeu."
84,FAQ14-84,"Pour l'indice un, le centre de l'univers est-il plutôt un lieu religieux important ou une ville au bord d'un fleuve ?",Le centre de l'univers n'est pas une notion métaphorique. C'est une notion extrêmement précise qui vous permet de localiser un lieu.
85,FAQ14-85,"Comment prononcez-vous 2, 5, 3, 5, 4, 8 ?",Comme cela. [ndr: les prononçant un à un]
86,FAQ14-86,"Doit-on considérer que le quadrillage du visuel quatre est de dimension trois fois douze, quatre fois douze ou cinq fois douze ? Ou bien le nombre de lignes n'est pas important ?",Alors c'est une très bonne question et je peux vous répondre qu'il y quatre lignes.
87,FAQ14-87,Y a-t-il un lien entre le lierre de la connaissance et un livre en particulier ?,Non.
88,FAQ14-88,La chambre cachée était-elle relativement vide au moment de sa redécouverte ?,Je ne peux pas répondre à cette question.
89,FAQ14-89,L'objet de la chambre cachée a-t-il un intérêt majeur par rapport à la culture ou à la civilisation à laquelle il appartient en dehors du contexte de la chasse ?,"La réponse est oui, très clairement."
90,FAQ14-90,Le roi de la montagne et l’Élixir d'Or ont-ils un lien direct ? Et l'association des deux peut-elle nous permettre de trouver la bonne pièce ?,"Non, ça n'a pas de rapport direct."
91,FAQ14-91,L'expression évêque universel est-elle pour vous un simple synonyme d'un nom plus usuel ?,La réponse est oui.
92,FAQ14-92,Le point commun entre trouver le coffre et la vie éternelle n'est-il pas la hauteur ?,La réponse est non.
93,FAQ14-93,Le vade retro se suffit-il à lui-même ou doit-il être prolongé pour nous permettre de trouver une certaine paix intérieure ?,C'est une très bonne remarque et je pense que une partie de la réponse est dans votre question.
94,FAQ14-94,Est-ce qu'il y a deux réponses possibles par énigme ? Une pour le bon chemin et une autre pour le mauvais chemin ?,Il y a évidemment des fausses pistes dans la chasse.
95,FAQ14-95,Doit-on représenter les quatre cavaliers de l'échiquier sur une carte ou sur MyMaps ?,Je ne peux pas répondre à cette question.
96,FAQ14-96,Les runes sont-elles vraiment nécessaires pour arriver au pile poil ou peut-on y parvenir en adoptant une méthodologie et en maîtrisant les éléments clé du jeu ?,"Je ne peux pas répondre […] à cette question. Mais certains signes dans le visuel de l'énigme deux notamment, font partie du cahier des charges."
97,FAQ14-97,"Vous avez répondu dans la FAQ 10 que la plume fait partie des éléments, des indices pour désigner l'adversaire de la partie d'échecs. Nous pouvons donc conclure que comme vous ne réfutez pas le terme ""adversaire"", nous pouvons convenir que la plume est un adversaire ?","Je ne peux pas me prononcer trop en détail sur l'utilité de la plume. Parfois il y a certaines questions qui intègrent des présupposés. Je ne vais pas forcément les reprendre en live, ça ne veut pas pour autant dire que je valide tous les présupposés de la question."
98,FAQ14-98,"Et si jamais je venais à sortir ou à détruire l'objet de la chambre cachée, que se passerait-il ?","Il ne se passerait pas grand chose, à part que vous auriez détruit un élément extrêmement important de la civilisation humaine."
99,FAQ14-99,La croix rouge sur l'épaule du personnage dans le visuel un est-elle là pour nous aider à identifier le personnage ou a-t-elle une autre signification ?,"Elle ne vous sert pas à identifier stricto sensu le personnage, mais elle va clairement vous donner un indice pour le jeu."
100,FAQ14-100,Le lieu familier a-t-il un genre plutôt féminin ?,C'est une très bonne question et la réponse est oui.
101,FAQ14-101,Les entités de l'énigme deux se connaissent-elles entre elles et sont-elles séparées par des frontières ?,Je ne peux pas répondre à cette question.
102,FAQ14-102,"Pour l’objet de la chambre cachée vous avez dit qu’il fallait le triturer. Plutôt dans le sens de le réduire en pâte, de le manipuler dans tous les sens ou de l'interroger ?","Vous n'aurez pas besoin de le manipuler ni de le réduire en pâte. Vous aurez besoin de fouiller ce que signifie cet objet. Du reste, il y a beaucoup de littérature sur cet objet."
103,FAQ14-103,Est-ce que je perds du temps si j’essaie de faire un masque type cardan sur une image par exemple ?,Je ne pense pas que vous perdiez du temps à tenter des cryptos audacieuses. Je ne peux que vous encourager à montrer une certaine audace dans vos tentatives de résolution.
104,FAQ14-104,L’un de nos trois navigateurs a-t-il un rapport étroit avec un écrivain célèbre ?,Je ne peux pas répondre à cette question.
105,FAQ14-105,"Avec la pièce que je crois avoir trouvé, je voyage jusqu'à un royaume étranger. Est-ce que je chauffe ?","Je ne peux pas répondre à cette question non plus, qui est trop précise. Ce que je peux dire, c'est que désormais plusieurs joueurs ont trouvé la bonne pièce, ce qui n'était pas le cas il y a encore quelques mois."
106,FAQ14-106,La clé de l'énigme six se trouve-t-elle dans certain texte ésotérique ?,La réponse est non.
107,FAQ14-107,"Au terme de l'énigme six, arrivons-nous au lieu précis du coffre ?",La réponse est oui. Vous arrivez au lieu précis du coffre.
108,FAQ14-108,"Le cachemire, le fer et la jade sont-ils alignés ?",Ils sont même extrêmement proches.
109,FAQ14-109,La pierre d'attente est-elle confirmée par un élément d'un visuel ?,"Non, la pierre d'attente n'est pas confirmée par un élément d'un visuel."
110,FAQ14-110,La chambre cachée a été construite par une certaine civilisation. La pierre d'attente a-t-elle été créée par cette même civilisation ?,C'est une très bonne question et la réponse est non. Il ne s'agit de la même civilisation. Et elle n'a même pas de lien évident.
111,FAQ14-111,Le bâtisseur de bon aloi peut-il bâtir autre chose qu'un bâtiment ?,La réponse est oui.
112,FAQ14-112,Le petit du merle est-il forcément le petit d'un oiseau ?,C'est à vous de le déterminer. Je ne pourrais pas répondre à cette question.
113,FAQ14-113,"Si je vous dis parfait(s), avec un s entre parenthèses à la fin de parfait, dans le cadre des recherches à effectuer, laisse réellement pour ceux qui sont concernés malgré leur fin ?","Je ne suis pas sûr de bien saisir le contexte, donc je ne vais pas répondre à cette question."
114,FAQ14-114,"Si je vous dis Sainte Rita pour l’illustration cinq et le Fugio, est-ce que je chauffe ?",Je répondrais plutôt que non.
115,FAQ14-115,"Si d'une certaine manière je dis accoucher de la pierre d'attente, je me répète ?",Vous n'allez pas accoucher de la pierre d'attente. La pierre d'attente préexiste et est déjà là. Vous n'aurez pas besoin de la créer.
116,FAQ14-116,Plutôt soleil et bateau ou piliers d'Héraclès pour plus ultra ?,Je ne peux pas répondre à cette question […].
117,FAQ14-117,Notre personnage a-t-il été représenté par Gustave Doré ?,Je n'ai pas vérifié donc je ne pourrais pas vous répondre. Je pense que non.
118,FAQ14-118,Le lieu de la cache a-t-il un lien avec le fil rouge de la chasse ?,"Oui, tout à fait."
119,FAQ14-119,Tracer ce que Dieu veut nous aide-t-il à localiser avec précision le lieu de la cache ?,Il va grandement vous aider en effet à localiser le lieu de la cache. Peut-être pas encore le pile poil.
120,FAQ14-120,Les cendres ou plutôt ne devrait-on pas dire les tas de cendres sont-elles au nombre de trois ?,"Non, il n’y a pas trois tas de cendres."
121,FAQ14-121,A propos de Trinité pour nous vivants et pour l'Élixir du Saint Esprit revêt-elle une importance particulière ?,Oui. Le Saint Esprit revêt tout à fait une dimension qui est particulière et qui est singulière par rapport à la notion de père et fils.
122,FAQ14-122,Le cheval de Troie fait-il référence à une supercherie pour rentrer dans une ville à un autre moment dans l'histoire de France ?,"Je ne connais pas cet épisode et je serais très curieux de le connaître. Et donc la réponse, vous l'aurez compris, est non ou de façon fortuite mais pas préméditée."
123,FAQ14-123,"La phrase en rouge indique ""suit le dernier cavalier"". Ce dernier cavalier a-t-il eu un chemin semé d'embûches qui l'auraient retardé dans son arrivée à destination ? Un retard d'une vie d'un homme.",Pas à ma connaissance.
124,FAQ14-124,La pierre d'attente est un grand sujet dans le cadre de la résolution de cette énigme. On a appris lors des différentes FAQs que cette pierre avait changé d'emplacement au cours du temps. Cette fameuse pierre d'attente a-t-elle un gabarit hors norme de par ses dimensions ? Son déplacement a-t-elle fait l’objet d'une construction d'un navire démesuré pour l’époque ? Son dernier déplacement a-t-il eu lieu au XVIᵉ siècle ? Son origine a-t-elle une source légendaire qui la relierait à Salomon ?,"Je ne connais pas le détail de la fabrication de la pierre d'attente, donc j'aurais du mal à répondre à vos questions. Par conséquent, je dirais que ça n'a pas d'importance. Et que, s'il y a un lien, il est purement fortuit. Cette pierre d'attente n'a pas d’importance majeure dans la chasse outre son emplacement."
125,FAQ14-125,"Dernier combat : pour nos derniers tracés, doit-on prendre en compte la localité où se déroule ce combat ? Ou le lieu précis dans cette localité ?","Je n’ai pas tout à fait compris votre question. Le coffre est enterré sur le lieu du dernier combat. Ça peut être une zone, c'est sûrement une zone, et après il faudra identifier évidemment un pile poil."
126,FAQ14-126,La couleur des cavaliers fait-elle référence à leur croix ?,La réponse est non.
127,FAQ14-127,"Robe du vin, robe des chevaux, un lien ?",C'est une très bonne remarque et je ne peux pas répondre à cette question qui rejoint d'ailleurs la notion de mélange.
128,FAQ14-128,"Si je suis sur pile poil en décembre, pourrais-je quand même extraire le coffre ? Ainsi que de nuit ?","Ce sera sans doute plus compliqué avec de la neige. Mais oui, vous pouvez extraire le pile poil pendant toute l'année."
129,FAQ14-129,"Dans l'énigme une, “trace ses deux gardiens”, à qui appartiennent-ils ?",Ils appartiennent au temps.
130,FAQ14-130,Mon parcours m'a conduit vers un dolmen qui ressemble au visuel un. Devrais-je être intrigué par cela ?,"Vous pourriez être intrigué par cela, mais je ne pourrais pas vous dire si le dolmen est important pour la suite de la quête."
131,FAQ14-131,Imaginons que j'ai une peluche et que je cherche une peluche siamoise à ma peluche d'origine. La peluche que je cherche [est]-elle à peu près identique à ma première peluche ou a-t-elle quelques particularités malgré qu'elle reste toujours siamoise ?,Il peut y avoir en effet des jumeaux qui partagent plusieurs similarités mais qui ont quand même leur singularité en tant que jumeau. Tout comme des peluches siamoises. Ces jumeaux ne seront pas strictement identiques.
132,FAQ14-132,Si je trouve une devise au début de la chasse est-elle en lien étroit avec le fil rouge et/ou notre personnage ?,"Je répondrais que non, pas nécessairement."
133,FAQ14-133,Un peu de Mirabelle pour finir ?,Je ne vois pas de lien direct entre les mirabelles et la chasse. Désolé.
134,FAQ14-134,"Dans le poème, l'effroi peut-il faire référence à un événement historique ?",La réponse est oui. C'est possible.
135,FAQ14-135,"Dans le poème, la foi peut-elle faire référence à un groupe spécifique de personnes ?",La réponse est […] oui.
136,FAQ14-136,Est-ce que la compréhension du fil rouge est nécessaire pour découvrir l'identité du personnage ? Ou cela servira-t-il plutôt de confirmation de l'identité du personnage ?,"Oui, tout à fait. Ce sera plutôt utile pour découvrir l'identité du personnage."
137,FAQ14-137,"Sur le visuel un, l'oiseau aurait-il pu être ailleurs que sur la croix sans rien changer à la signification ?",La réponse est oui.
138,FAQ14-138,Un puit en pierre pourrait-il constituer une pierre d'attente ?,[Non].
139,FAQ14-139,"Si je me téléporte sur la zone où se trouve la grappe de raisins, aurais-je la possibilité d'en toucher une toute petite partie en restant debout, les pieds au sol, juste en cherchant avec mes mains dirigées vers le sol sans faire de contorsions gymnastiques ?",Vous en toucherez une infime partie. Voilà ce que je peux vous dire.
140,FAQ14-140,Les traits noirs que l'on voit sur le halo des flambeaux sont de tailles différentes ?,C'est une liberté de l'illustratrice.
141,FAQ14-141,Y a-t-il qu'une seule personne sur le cheval de l'illustration six ?,La réponse est oui. Il n'y a qu'un seul personnage.
142,FAQ14-142,Le trésor est-il enterré proche du lieu du dernier combat ou directement sur le même lieu ?,C'est sur le même lieu.
143,FAQ14-143,"INRI : est-ce que les mots “elles sont Trinité” se rapportent à des élément réels ? Si oui, ces éléments sont-ils proches comme moins de un kilomètre ?","Oui, tout à fait. [ndr: à la première partie de la question] Là-dessus, je ne pourrais pas répondre.[ndr: à la seconde partie de la question]"
144,FAQ14-144,Confirmez-vous l'identité du cheval Pégase sur l’illustration six ?,"Non, je ne confirme pas cette identité."
145,FAQ14-145,"Imaginons que j'ai trouvé la zone finale depuis mon canapé, surface inférieure à 100 mètres carrés, me conseillez-vous de foncer même s'il faut traverser la France ? Ou me conseillez-vous d'utiliser votre système de validation au préalable ?","Je vous conseille de foncer puisque si vous avez trouvé la zone finale, il y a suffisamment de confirmations sur cette zone pour montrer que vous êtes sur la bonne voie et que la zone est correcte. Il est tout à fait possible, c'est déjà arrivé sur d'autres chasses au trésor, que un déclic se fasse en même temps pour plusieurs équipes et que l'intervalle de déplacement puisse se faire en moins de quelques heures. [Qu’il puisse y] avoir finalement très peu de différence de résolution entre plusieurs équipes. Et donc, ce qui compte, c'est d'être le premier sur les lieux."
146,FAQ14-146,Admettons que j'habite à l'endroit de la première relique et que j'allais parler à des gens qui connaissent bien cette relique. Seraient-ils en mesure d'indiquer des indices concernant l'autre trésor ?,"Je pense qu'ils en auraient une assez bonne idée, en effet."
147,FAQ14-147,"Le sens “d'atrophié” dans la strophe trois du poème signifie-t-il que le siècle fut sanglant, meurtri ? Ou sinon pouvez-vous préciser le sens “d’atrophié” ?","Tout à fait. C'est le sens que vous avez retenu, à savoir un siècle un peu diminué par certaines plaies. Et donc le qualificatif de sanglant et meurtrier est parfaitement choisi."
