,,Question,Réponse
15,FAQ5-15,"En résolvant les énigmes je suis tombé sur 4 pierres. Au total, 3 ont la même forme et une de forme identique. Pouvez vous me dire si les 3 pierres identiques sont à considérer comme une pierre unique?","Alors je ne peux pas répondre à cette question si je ne connais pas vos pierres. A moins que vous vouliez donner votre piste dans une question peut-être plus précise, mais sinon je ne pourrais pas vous répondre."
16,FAQ5-16,Est-ce que la pierre nous aide à déchiffrer les runes?,"Alors c'est très bien vu avec la pierre de Rosette évidemment qu’on a en tête, mais je ne peux pas répondre parce que c'est trop précis."
17,FAQ5-17,La relique qui est trouvée dans l’énigme 4 est-elle réelle? Tangible?,"Oui, c'est une vraie relique."
18,FAQ5-18,Les lettres rouges dans le poème auraient-elles pu être ailleurs dans celui-ci ou dans une autre énigme? Ont-elles un lien avec les phrases en rouge dans les énigmes 2 et 5?,"Alors non, elles sont à l'endroit où elles sont. Elles ne pourraient pas être ailleurs. Après, je ne peux pas répondre sur leur lien avec d'autres éléments en rouge."
19,FAQ5-19,"Puisque la charade n'est pas une phrase pourrait-elle être une expression, une formule ou une locution pour désigner un lieu?",Tout à fait.
20,FAQ5-20,"Une fois les sabliers identifiés, pouvons-nous dire qu'on a trouvé une solution de l'énigme? Et si oui, pouvons-nous dire qu'ils ne sont plus utiles pour chercher une deuxième solution?","Alors oui, ce serait, si c'est la bonne, une solution. Quand j'ai dit qu'il y avait au moins deux solutions par énigme c'est le cas. Il y en a parfois même beaucoup plus. Ça ne veut pas forcément dire que ce sont les solutions les plus importantes. Parfois, il y a des décryptages, des résultats qui vont être intermédiaires et qui vont vous servir une fois regroupés à trouver encore une dernière solution."
21,FAQ5-21,"Dans une des vidéos FAQ vous nous demandiez si nous serions de taille pour affronter le mal: comme nous l'aurons déjà vu avant, ainsi que son jumeau, son double d'une façon certaine armée pour le combattre, n'est ce pas ?","Oui, tout à fait. Vous serez armés pour combattre le mal."
22,FAQ5-22,Les lettres rouges dans l’énigme 6 sont-elles à étudier au début ou en fin de chasse?,Alors l'énigme 6 n'a pas de lettres en rouge. Il y a juste le titre en chiffres romains qui comporte du rouge. Je ne peux pas trop répondre.
23,FAQ5-23,"Les titres des énigmes sont précédés d’un chiffre romain qui nous donne un ordre de 1 à 6 en rouge, est-ce que la pertinence de ses chiffres romains est avérée? Aurait-il été possible que les énigmes soient rédigées sans ordre établi?",Oui les chiffres romains sont utiles. Ils sont en rouge et ça c'est également utile. Et il était important que les énigmes soient données avec un ordre de 1 à 6 avec ces chiffres romains.
24,FAQ5-24,Pouvez-vous nous dire si le personnage qui jette son épée sur le chemin porte sur lui de façon indélébile notre première relique?,"Oui, c’est une très bonne remarque. Il porte sur lui notre première relique."
25,FAQ5-25,Les visuels peuvent-ils cacher des cryptos?,Bien sûr.
26,FAQ5-26,"Si je m'arrête à une météorite et à Pégase pour le visuel 6, m’invitez-vous à voir davantage?",Oui.
27,FAQ5-27,"Si le poème à 6 strophes de 4 vers, étant donné qu'on devait utiliser le poème comme tel. Suis-je dans la vérité si je dis que ce poème donne l'ordre des énigmes?",Alors vous êtes un peu loin. Le poème a une utilité qui est beaucoup plus grande que simplement donner l'ordre des énigmes.
28,FAQ5-28,Mon mari est hispanophone et souhaiterait participer à la chasse. Une version en espagnol est elle prévue?,"Tout à fait. Elle est même disponible d'ores et déjà sur la version numérisée depuis deux ou trois semaines. Donc, en effet, votre mari peut participer sans aucun problème."
29,FAQ5-29,"Malgré la présence de sources de lumière, il y a une absence d'ombres. Est ce que ça relève d’un choix artistique?","Oui, il aurait pu y avoir aussi des ombres ça n'aurait rien changé."
30,FAQ5-30,Peut-être que la réponse a déjà été donnée: Peut-on considérer les partenaires viticoles du jeu comme des indices ou des pistes?,"Non, car les partenaires du jeu ont été sollicités et convaincus 1 à 1 par notre équipe après que le jeu ait déjà été écrit et que le coffre ait déjà été enterré. Ils n'ont pas de lien avec les énigmes de l'Élixir d'Or. Ou alors il est fortuit et venu plus tard. Mais en tout cas, pas de lien a priori."
31,FAQ5-31,"On sait ô combien les couleurs sont importantes donc le moindre écart nous chiffonne vite. Sans remettre en doute la valeur du travail de notre chère illustratrice, la couleur de l’habit de notre ami capuché varie. Est-ce important?","Alors je vous déconseille d'essayer de voir les nuances extrêmement précises des couleurs, car déjà elles peuvent varier entre le parchemin papier, le parchemin numérique, et on n'est pas allé dans ce niveau de détail avec mon frère. Si il y a des couleurs qui peuvent avoir une symbolique et une importance, tenez-vous en aux couleurs les plus importantes. Celles de l'arc en ciel, primaire, secondaire, tertiaire. Pas aller au delà de ça, ça n'aurait pas de pertinence dans le jeu. Notre ami porte du violet ainsi qu'une capuche noire. Il porte le même habit tout du long. A part sur le visuel 1 où il y a une croix sur son épaule. Et le visuel 6, où Il ne porte pas sa capuche. En tout cas, sa capuche est enlevée pour que sa tête soit nue."
32,FAQ5-32,"Les îles écossaises de la carte de l'Europe de l'énigme, de l'illustration 1 semblent laissées blanches. Est-ce volontaire?",Ça n'a pas d'importance.
33,FAQ5-33,"Sur l'illustration 6, est-ce que la barbe grise qu'on voit vole au vent?",Ce sont les cheveux du personnage pas la barbe.
34,FAQ5-34,"Sur l'illustration 6, entre la barbe et l'épée, la zone est saumon. Est-ce volontaire?",C'est toujours les cheveux du coup. Et ça fait partie du principal élément du visuel que notre personnage s'apprête à frapper.
35,FAQ5-35,"L'arbre du visuel 1 semble avoir un grand âge. Se pourrait-il que le Comte ou le personnage barbu l’aient planté eux-mêmes ou qu'ils connaissent ceux qui l'ont planté. Durant sa longue vie, le Comte a-t-il suivi la croissance de cet arbre de façon régulière ou a-t-il découvert son existence sur le tard?","L'arbre est précis et en l'identifiant, vous comprendrez son lien avec la chasse."
36,FAQ5-36,"Faut-il, au moins dans un premier temps, associer l’énigme 1 au premier dessin, l’énigme 2 au deuxième, et cetera?",Ça je ne peux pas vous répondre.
37,FAQ5-37,Les noms à décrypter ont une position et un cadrage bien particulier dans l'énigme 1. Suis-je dans l'erreur de penser que cette disposition est à prendre en considération?,"Non, vous n’êtes pas dans l’erreur."
38,FAQ5-38,L’épée du visuel 6 est-elle à manier de la même façon que celle du visuel 5?,Non.
39,FAQ5-39,Est-ce que le mal de l’énigme 3 est différent du mal de l’énigme 4?,"Oui, même s'il est de même nature."
40,FAQ5-40,"Est-ce que le traçage des gardiens du temps a une incidence sur le traçage du dernier cercle? En d'autres termes, peut-on tracer le dernier cercle sans avoir correctement tracé les gardiens au préalable?","Oui, oui, les tracés sont distincts."
41,FAQ5-41,Dans l'énigme 1 vous avez écrit Saint Clair sur l'Elle avec L majuscule.,"Ça n'a pas d'importance, le L aurait du être minuscule. Mais ça ne change rien par rapport à l'énigme."
42,FAQ5-42,Le RC de la première illustration sera-t-il un fil rouge permettant de confirmer les solutions?,Est-ce que ça confirme des solutions? Oui. Est-ce que c'est un fil rouge ? Ça je ne peux pas répondre.
43,FAQ5-43,"Dans les visuels de la poignée de main entre les deux personnages, est-ce que l'année de cette poignée de main est en relation avec le visuel ou avec le visuel 6?","Ça, je peux pas vous répondre."
44,FAQ5-44,Est-ce que l'arbre de l'illustration 1 est un chêne ?,Il est parfois décrit comme tel oui.
45,FAQ5-45,"Peut-il y avoir plusieurs positionnements valables des 4 chevaux à mettre sur notre carte? Et si oui, ce nombre de positions est-il de 3 comme le cheval?","Non. Seul un positionnement est correct. Pour le jeu entier, un seul positionnement et un seul suivi de tracé peut vous mener au coffre. Dans tous les cas."
46,FAQ5-46,"La police de caractères pour représenter le nombre 1 est un peu étrange dans l’énigme 2, cela ressemble plutôt à un i. Est-ce important?",C’est bien un 1. Donc la police n'est pas très importante. C'est un 1.
47,FAQ5-47,"Si j'étais désorienté dans cette quête, aurais-je raison de croire que ce ne serait pas seulement par la volonté du Comte de Saint-Germain, mais également par le biais d'un élément hors contrôle? Merci de proscrire une désorientation d'origine personnelle.","Alors oui, vous avez raison, même si une désorientation d’origine personnelle est aussi toujours possible. Voilà."
48,FAQ5-48,"“Mon tout est ta première relique”, “tu verras par l'autre trésor”. Êtes-vous d'accord pour dire que la première relique est aussi un trésor ou une subtilité m'échappe-t-elle encore?","Une relique peut être en effet vue comme un trésor, je suis d'accord."
49,FAQ5-49,Doit-on trouver au minimum une seconde solution à chaque énigme pour pouvoir assembler les 6 énigmes de façon optimale?,"Alors sur la seconde résolution, ce que je peux dire comme ce que je dis un peu avant, il y a au moins toujours deux, trois, voire beaucoup plus de décryptages, de solutions intermédiaires à trouver qui parfois vont converger vers des solutions encore plus fortes, si je puis dire. Donc voilà."
50,FAQ5-50,Peut-on et doit-on associer à chaque énigme une date qui permettrait de classer les énigmes chronologiquement?,"Le Comte n'est pas un homme linéaire, donc vous pourriez les classer de cette façon là. Mais attention, parce que le Comte est, entre guillemets, un peu hors du temps."
51,FAQ5-51,"Dans Via ignis, 3C64 est-il une vision limitée ou une reprise partielle d'un code existant pour définir quelque chose?",C'est un crypto qui vous donne le bon cheval. C'est tout ce que je peux vous dire sur 3C64.
52,FAQ5-52,"Puisque la notion de distance, de lieue, n'est donnée qu'à l'occasion de la 5ème énigme, doit-on trouver une autre mesure pour les tracés des autres énigmes qui précèdent?","Je ne peux pas vous dire si elle est différente de l'énigme 5, mais c'est précisé. C'est à dire que s'il y a une mesure à utiliser, elle vous est donnée précédemment dans le jeu."
53,FAQ5-53,"Pour l'énigme Vitriol, pour trouver la distance des lieux à trouver, l'application de la règle mathématique produit en croix doit être complétée ou corrigée par un élément de l’énigme?","Alors non, ce sont les chiffres qu'il vous faut trouver. Mais sinon poser le calcul se fait normalement sans trop de difficulté. Le plus dur, c'est évidemment d'avoir les bons chiffres."
54,FAQ5-54,La mesure est-elle unique dans tout le jeu?,La réponse est non. Les mesures sont différentes.
55,FAQ5-55,Est-ce que 1776 est une date dans le contexte de l'énigme ou bien un nombre de pièces ou bien les deux?,"C'est d'abord un nombre de pièces. Même si 1776, évidemment, peut vous faire penser à autre chose, mais c’est avant tout un nombre de pièces."
56,FAQ5-56,Peut-il y avoir plusieurs solutions correctes à la charade du Novus Ordo?,"Non, il n'y a qu'une seule solution."
57,FAQ5-57,Y’a-t-il une raison pertinente pour qu'on ne voit jamais les yeux du personnage dans les illustrations?,"Oui, les yeux sont l'identité d'une personne, en quelque sorte. Donc si vous ne voyez pas les yeux, c'est aussi parce que je ne voulais pas que vous voyez de quel personnage il s'agissait."
58,FAQ5-58,Les runes présentes dans l'illustration 2 sont-elles à utiliser ensemble ou séparément?,C’est trop précis donc je ne peux pas répondre.
59,FAQ5-59,"Vous avez dit qu’identifier le joueur d'échecs de l'échiquier était important. Si pour moi l'un des joueurs est un souverain, suis-je dans le vrai?","Pareil, c’est un peu trop précis."
60,FAQ5-60,"Selon vous, quelle est l'énigme la plus difficile de l'Élixir d'Or et pourquoi?","Alors, c’est une bonne question. Je dirais que le plus difficile dans le jeu, c'est de trouver le cas général, le fil rouge. Parce que je pense qu'il faut toujours partir du cas général pour ensuite arriver au cas particulier et pas l'inverse. Et donc trouver le fil rouge est très, très difficile car il traverse l'ensemble du jeu. Après il y a des décryptages qui sont en effet plus difficiles que d'autres. Je pense que le visuel 4 est assez chargé, donc il peut provoquer des difficultés. Et après l’énigme écrite 6 n'est pas très simple non plus."
61,FAQ5-61,Dans la dernière FAQ vous répondez que la grappe est visible toute l'année. Cela implique-t-il de jour comme de nuit?,"De jour comme de nuit oui, tout le temps."
62,FAQ5-62,Quelle illustration a donné le plus de fil à retordre à votre illustratrice?,"Pour elle, je sais que c'est la première parce qu'elle a dû essayer de trouver le style qui correspondait au cahier des charges. Elle a du essayer de comprendre ce qui était attendu. Et donc je pense que, c’est ce qu’elle m’a confié, c'est celle là qui lui a donc demandé le plus de temps et d'efforts. Après, la plus retouchée, celle où il y a le plus d’aller-retour je pense que c'est la 2."
63,FAQ5-63,Est-ce que la chasse prend pour vérité des informations qui sont su aujourd'hui fausses?,"Bien sûr, à commencer par la légende du Comte de Saint-Germain elle-même, puisqu'il prétendait être immortel. Aujourd'hui, dans un monde un peu rationnel, on va dire que cette immortalité n'a pas été prouvée. C'est ensuite un conte. C'est à dire que on est dans le monde réel. 99 % de l’Élixir d’Or est basé évidemment sur des informations réelles, le monde réel, l'histoire réelle. Mais il y a forcément un moment où des éléments un peu mystiques, surnaturels peuvent survenir. C’est la différence d’ailleurs entre la fantaisie et le fantastique. Voilà, là, on est dans un univers un peu, très minoritairement, on va dire fantastique, lié à la personnalité du Comte de Saint-Germain."
64,FAQ5-64,Est-ce que les fumées de l'illustration 3 pourraient avoir une autre forme sans que cela n’impacte la résolution des énigmes?,Oui.
65,FAQ5-65,Est-ce que le paragraphe FIN a une utilité dans la chasse?,"Oui, tout à fait. Il a une utilité."
66,FAQ5-66,Le blason qui est présent sur le cavalier noir de l’illustration 2 aurait-il pu être sur un autre cavalier?,Non.
67,FAQ5-67,Est-ce que l'espèce de l'arbre figurant dans la première illustration doit être défini pour la réussite de la chasse?,Non plus.
68,FAQ5-68,"Lorsque je suis sur le lieu final et que j'ai trouvé où creuser, y’a-t-il à 60 cm de profondeur des obstacles supplémentaires?","Non.On a creusé, nous, sans aucune difficulté. Aucun problème là dessus."
69,FAQ5-69,Est-ce que le Comte de Saint-Germain a poussé à la salle pour pouvoir enterrer la contremarque?,"Non, je pense que vous pouvez constater par vous-même que je ne fréquente pas les salles d'exercice. L'enfouissement du coffre n'a posé aucun problème."
70,FAQ5-70,Est-il indispensable d'avoir une voiture pour se rendre sur le lieu à creuser? Ou bien tout peut se faire en transports en commun?,"Ça je ne peux pas répondre car je ne veux pas donner des localisations négatives juste en recoupant les zones qui seraient difficilement accessibles sans le vélo. Donc voilà. Tout ce que je peux vous dire, c'est qu'on travaille actuellement pour un système de validation des solutions à distance. C'est ce qu'on avait prévu dès le début pour les gens handicapés. Pour les joueurs étrangers aussi, parce que c'est un jeu qui se mondialise progressivement. On est en contact avec beaucoup de distributeurs à l'international là-dessus. Et on va voir, ça demande un peu de développement informatique. Mais non, je ne peux pas répondre à cette question."
71,FAQ5-71,Est-ce qu'un indice nous guide pour trouver l’échelle à utiliser dans la deuxième phase du jeu?,Bien plus qu'un indice oui.
72,FAQ5-72,"Est-ce que là où se trouve le Trésor et où nous devons creuser est accessible sans souci? Est-ce dans un lieu public ou sur un terrain privé? Mais le propriétaire du terrain étant au courant, la chasse autorise la fouille.","Non, non, ce n'est pas dans un domaine privé. D'ailleurs, c'est interdit en France. Donc vous ne pouvez pas évidemment l'enterrer dans une propriété privée. Donc c'est dans un lieu du domaine public."
73,FAQ5-73,Y’a-t-il plusieurs solutions par énigme? Et est-ce que chaque élément peut être utilisé plusieurs fois? Un élément a-t-il été mis en place pour être sûr à 100 % qu'il n'y a pas d'autres éléments de résolution?,"Je n'ai pas compris la question, donc je vous invite peut-être à la reformuler. Parce que là, je ne vois pas où est-ce que vous voulez en venir."
74,FAQ5-74,Pensez-vous que je puisse être capable de trouver les solutions en posant les bonnes questions à CSG9000?,CSG9000 c’est une intelligence artificielle qui reproduit le Comte de Saint-Germain. La réponse est non.
75,FAQ5-75,"Si chaque énigme n'avait pas de titre, pouvons-nous quand même les résoudre?","Non, les titres sont importants."
76,FAQ5-76,Le fait que VITRIOL soit en majuscule apporte-t-il une importance spécifique à cette énigme?,Oui.
77,FAQ5-77,Est-ce que l’arbre en référence à l’illustration 1 peut être à la fois un chêne et un acacia ou bien un seul des deux?,Ça n'a pas d'importance majeure.
78,FAQ5-78,"Les coquelicots font-ils référence à un pays, à un vin ou à une période de l'histoire? L'oiseau est-il une mésange?",Trop précis je ne peux pas répondre.
79,FAQ5-79,"Le personnage que l'on retrouve ne porte pas tout à fait le même vêtement… [à chaque fois, un fin liseré apparait dans deux énigmes, la couleur de la bure est différente dans la première énigme : cela a-t-il une importance?]",Ça j'ai déjà répondu du coup sur le vêtement qui est identique.
80,FAQ5-80,"Est-ce que ce liseré est-il posé sur une aumusse, un chaperon, un autre nom?",C'est un chaperon noir qu’il y a par dessus le vêtement violet.
81,FAQ5-81,Les liens avec le vin ne sont pas toujours évident à trouver dans cette chasse,"Alors il y a beaucoup de liens avec le vin. Vraiment beaucoup, dont plusieurs qui n'ont pas encore été découverts."
82,FAQ5-82,Est-ce qu'il y aurait un lien avec la tonnellerie dans l'énigme 3?,"Sur la tonnellerie, ça je vous laisse creuser, je ne peux pas vous répondre par oui ou par non."
83,FAQ5-83,"Me voilà bien embêtée. J'ai trouvé l'emplacement exact du trésor, tout coïncide, je suis prête à creuser. Mais il se trouve qu'un certain nombre de centaines de kilomètres me séparent du trésor et que je ne peux absolument pas me déplacer. Puis-je vous donner la position par un autre biais et cela permettrait de valider ma victoire?","Ça rejoint un peu la question à laquelle j'ai déjà répondu. Oui, on travaille sur le système de validation des solutions à distance. Après si vous n’êtes ni handicapé(e), ni étranger, ni étrangère, c'est dommage parce que je vous invite quand même à vivre l'expérience à fond. En tant que puriste, évidemment, l'expérience la plus forte à ressentir quand on participe à la chasse au trésor, c'est d'avoir le frisson d'aller creuser par soi-même, et ne pas savoir encore si on a raison ou pas. Mais à part ça, oui, parce qu'il y a des gens handicapés et des étrangers, on va être obligés de mettre ce système en place."
84,FAQ5-84,Est-ce qu'une pièce dite en or doit être considérée comme intégralement en or?,"Ce qui compte, ce n'est pas en effet de dire c'est une pièce en or, en argent, en bronze, c’est le pourcentage, la quantité d'or que la pièce contient précisément."
85,FAQ5-85,"Si nous étions guidés par trois individus, serions nous guidés par chacun d'entre eux à des époques différentes ou contemporaines entre elles, sur des pistes divergentes ou complémentaires les unes des autres, dans des directions totalement opposées ou légèrement déviées? Et dans ces éventualités, n’y aurait-il pas un quatrième guide à trouver/identifier?","Alors, vous pourriez l'être à des époques différentes. Mais si vous êtes guidés, normalement, vous pouvez avoir confiance dans votre guide. Après, je ne peux pas répondre sur la présence ou non d'un quatrième guide."
86,FAQ5-86,La grappe de l’énigme 1 comporte-t-elle au moins 2 variétés de raisins?,"Alors, ce n'est pas une grappe comestible."
87,FAQ5-87,"Dans l’énigme 2, le chevalier RC a-t-il pu avoir plusieurs noms au cours de l'histoire?",Alors je ne peux pas répondre car vous ne semblez pas partir d'un élément qui est en clair dans l'énigme. Donc vous répondre serait confirmer votre décryptage présupposé.
88,FAQ5-88,"Dans l'énigme 2, nous avons 2 chevaliers purement bien identifiables et il nous reste RC pour le second.","Pareil pour les mêmes raisons, je ne peux pas répondre à cette question."
89,FAQ5-89,"Dans la dernière FAQ vous avez insisté sur le fait que chaque énigme comportait au moins deux niveaux de compréhension. Pourriez-vous être plus précis? Est-ce que chacune cache bien deux cheminements complets ou est-ce que pour certaines d'entre elles, peut-on considérer ces deux niveaux comme étant un décryptage, de l'interprétation et la compréhension?","Vous avez raison, vous avez plusieurs étapes. Des décryptages, des cryptos, des interprétations, des éléments à trouver, l'histoire, la culture, et cetera. Et parfois des recompositions à faire pour trouver un deuxième niveau de décryptage. Donc tout à fait. Vous avez raison de vous poser cette question de plusieurs niveaux de compréhension."
90,FAQ5-90,Useriez-vous de craie pour nous guider?,"J’utilise la jade, le fer, le cachemire, la pierre. Peut-être, en effet, d'autres éléments naturels, bien évidemment."
91,FAQ5-91,Le mal évoqué dans l’énigme 2 peut-il être soigné?,"Il peut être combattu, mais il ne peut pas être soigné."
92,FAQ5-92,"Les points de repère trouvés pendant les 6 premières énigmes seront-ils les mêmes quand nous changerons d'échelle? Et de ce constat, changerons-nous encore d'échelle avec toujours ces mêmes repères pour une 3ème étape?",Vous ne changez qu’une seule fois d'échelle. Et c'est quand vous êtes prêt.
93,FAQ5-93,Le poème peut-il nous aider dès les premières énigmes?,Le poème vous aide tout le temps.
94,FAQ5-94,Est-ce qu'il y a un indice dans la vidéo de Nota Bene?,"Je ne pense pas. Il faudrait que je la regarde à nouveau. Mais évidemment, si on travaille des influenceurs, des médias, ceux-ci ne sont pas du tout dans le secret des énigmes, dans l'intimité de leur cheminement. Et donc, là-dessus, s'il y a des indices, ils sont complètement fortuits."
95,FAQ5-95,Vous semblez dire que le tracé des sabliers dans la FAQ 4 est une fausse piste. Aurais-je mal compris?,"Alors non, je voulais mettre en garde. J'ai profité de cette question, mais ce n’est pas forcément à cette question que je voulais faire cette mise en garde. Mais ça ne concerne pas forcément l'une des pistes très populaires qui est celle des sabliers. Je voulais mettre en garde de façon générale contre des solutions qui peuvent être populaires. Pourtant, elles sont fausses. Et après, je ne pourrais pas dire s'il s'agit de la piste des sabliers ou d'autres pistes. Mais en tout cas, il y a des pistes populaires qui ne sont pas les bonnes."
96,FAQ5-96,"Est-ce que le tracé des deux gardiens nous donne une zone précise ou un point précis comme un village, un vignoble, par la jonction de toutes les droites par exemple?","Ça, je ne peux pas vous répondre."
97,FAQ5-97,Est-ce qu'une carte des constellations est nécessaire pour résoudre la chasse?,"Pareil, c'est un peu trop précis."
98,FAQ5-98,"L'un des cavaliers ou des chevaliers est-il détenteur d'un savoir, d'un outil, voire des deux, qui nous serait utile pour résoudre la phase finale de cette chasse?","Oui, tout à fait."
99,FAQ5-99,"Est-ce que dans le contexte de la chasse, le proverbe suivant pourrait ne pas se vérifier: “L'habit ne fait pas le moine”.",La réponse est oui.
100,FAQ5-100,"Serait-il possible qu'un élément d'un visuel ne serve que comme indice de confirmation dans une énigme ultérieure (n+1, n+2)?",Oui.
101,FAQ5-101,Est-ce que l'introduction du Testament est uniquement là pour planter le décor ou est-ce qu'elle contient plusieurs indices importants?,"Oui, elle contient des indices."
102,FAQ5-102,"Le lieu de la cache était-il connu avant la construction du jeu? En résumé, si au dernier moment vous ne pouviez pas enterrer le coffre à cause un aléa quelconque, vous auriez pu l'enterrer ailleurs et modifier une énigme?",Alors ça je ne peux pas répondre car ça tient à l'architecture du jeu.
103,FAQ5-103,Les couleurs supplantent-elles les propriétés des nombres dans la chasse?,Non.
104,FAQ5-104,"Lors de la FAQ 4, vous avez répondu que l'arbre du visuel 1 était important. Une approche généalogique de celui-ci vous semble-t-elle pertinente?","A appliquer à quelques personnages, ça ne peut pas faire de mal, au contraire. Il y a en effet quelques arbres généalogiques qui valent le détour."
105,FAQ5-105,Est-ce que c'est un arbre réel ou purement imaginaire?,"Je ne sais pas comment vous répondre, donc je vais passer désolé. Désolé pour vous."
106,FAQ5-106,"Y’a-t-il un intérêt autre que touristique à se déplacer aux trois rochers espacés de quelques mètres, fortement designés à l'orient de la croix de la fin? Faut-il s'attendre à ce que le lieu très précis soit plus précis encore que le rocher désigné parmi ces 3?","Si vous parlez d'un lieu très précis, un rocher, pour moi, ce n'est pas très précis. Ça dépend de la circonférence du rocher. Mais si c'est un rocher très lourd d’ailleurs, je ne sais pas comment vous allez creuser le sol."
107,FAQ5-107,Le Prince des vignes est un surnom qui peut être appliqué à plusieurs personnes. Êtes vous d'accord?,"Oui, oui, je suis d'accord."
108,FAQ5-108,Est-ce que la pierre d'[at]tente se découvre plus facilement depuis un fauteuil ou sur le terrain?,Elle se découvre plus facilement depuis un fauteuil.
109,FAQ5-109,Diriez-vous plutôt que le tout de la charade est un résultat phonétique approchant ou le résultat de la concaténation parfaite des 6 éléments trouvés?,"C'est un résultat parfait, sans aucune incertitude possible qui résulte de la concaténation."
110,FAQ5-110,Y’a-t-il des références geek dans la chasse?,"Oui, il y a des références geek dans le jeu."
111,FAQ5-111,"Sur l’illustration 5, le personnage se sépare de son épée. Change-t-il d'avis plus tard pour la récupérer?","Non, ce n'est pas un changement d'avis."
112,FAQ5-112,Est-ce que la grappe de raisin de Puligny-Montrachet a-t-elle un lien?,Vous vous en doutez que c'est un peu trop précis. Donc je ne peux pas vous répondre.
113,FAQ5-113,"Un pèlerin n'aurait pas emprunté le chemin que vous nous indiquez pour se rendre au point final. À moins d'avoir la tête à l'envers, n'est ce pas?",Je crois qu’un pèlerin aurait un grand tropisme à emprunter le chemin qui est proposé par le jeu. Mais il n'y a pas besoin d'être un pèlerin.
114,FAQ5-114,"Est-ce que cette quête s'ouvre uniquement sur la vraie histoire du monde? Est-ce que l'on doit prospecter du côté des histoires dites ""farfelues"" qui savent encore faire parler d'elles aujourd'hui?","Comme je l'ai dit l'histoire, le jeu, se passe à travers le prisme du Comte de Saint-Germain et ce prisme est celui du monde. Un monde qui est le monde réel, mais dans lequel il fait intervenir, par son imagination, des forces imaginaires. Voire un peu mystiques."
115,FAQ5-115,L'étude de plusieurs illustrations d'un certain livre kabbalistique du XVIIIᵉ siècle est-elle vraiment utile?,"Si vous trouvez une référence utile, je vous invite à étudier à fond cette référence car ça ne pourra que vous aider."
116,FAQ5-116,Est-il possible que le résultat d’une crypto ne soit qu'un indice de confirmation?,Oui.
117,FAQ5-117,Est-ce que nous aurons besoin de trouver une ou des clés dans notre aventure?,"Non, ce n'est pas demandé dans le jeu."
118,FAQ5-118,L’aigle du visuel 3 aurait-il pu être dessiné à un autre endroit ?,Oui.
