,,Question,Réponse
27,FAQ3-27,Quand on sera sur les lieux on aura aucun doute. Est-ce qu'on peut tomber dessus par hasard? Est-ce qu'un promeneur pourrait se rendre sur les lieux?,"Je ne peux pas répondre avec certitude si un promeneur pourrait y aller. Nous même, nous y sommes allés de nuit pour justement éviter toute rencontre. Mais un promeneur étranger au jeu ne serait pas interpellé comme vous pourriez l'être."
28,FAQ3-28,"Le jeu est-il figé en date du 12 avril 2023? Si une référence externe venait à évoluer ou à être mise à jour, devrions-nous prendre en compte uniquement celle disponible au lancement de la chasse?",Oui. Vous prendrez uniquement en compte ce qui s'est passé jusqu'au 12 avril 2023.
29,FAQ3-29,Une précision par défaut des points de repère est-elle encodée au sein même des énigmes?,"Alors là, j'aurais besoin de savoir de quel point de repère vous parlez."
30,FAQ3-30,Les 6 quatrains auraient-ils pu être remplacés par une forme en vers libres ou une prose poétique sans conséquences sur la résolution des énigmes?,Non. Ils ont cette forme et ils ne pourraient pas en avoir une autre.
31,FAQ3-31,"Quelle serait votre définition du terme ""reliquat"" sur cette chasse?",Là-dessus je ne répondrais pas à ce stade.
32,FAQ3-32,Un élément intervenant dans une résolution d'énigme peut-il être utilisé dans une autre résolution ou doit-on le considérer à usage unique?,"Non, vous ne pouvez pas considérer tous les éléments comme à usage unique. Ils n'ont pas été choisis au hasard."
33,FAQ3-33,Le soleil noir de l'illustration 3 possède 11 branches. Aurait-il pu en posséder 12 sans conséquences sur la résolution des énigmes?,Ça aurait eu... en tout cas on a fait le choix de ne pas en mettre 12.
34,FAQ3-34,Notre quête est-elle jonchée de fausses pistes volontaires? Ces fausses pistes peuvent-elles s'étendre sur plusieurs énigmes?,Il y a en effet des chemins à éviter.
35,FAQ3-35,"Sur l'illustration 2, graphiquement, il y a clairement la place de mettre la rune en forme de flèche sur la ligne du dessus (à la suite des autres). Pouvez vous donc nous confirmer que c'est un choix délibéré?",C'est une bonne observation mais je ne peux pas répondre.
36,FAQ3-36,"Est-ce qu'une notation française peut être utilisée dans la chasse considérant son cote international? Par exemple, R et D pour roi et dame aux échecs?","C'est possible. Le Comte a un tropisme. Évidemment il a beaucoup voyagé, mais c'est à vous de savoir si il devait écrire en une certaine notation aux échecs quel serait son penchant je dirais. Et là, je vous invite évidemment à faire quelques recherches sur le Comte."
37,FAQ3-37,Faut-il avoir résolu l’énigme 1 pour résoudre l’énigme 2?,"Ne bloquez pas, avancez. Peut-être qu'à un moment donné il faudra remettre de la cohérence dans ce que vous trouvez. Mais en tout cas le jeu ne vous bloque pas surtout au début du parchemin."
38,FAQ3-38,Est-ce que le résultat d'un déchiffrement pourrait être à interpréter en français?,Oui.
39,FAQ3-39,"Au moment où nous devons planter le lierre de la connaissance, est-il déjà en notre possession avant l'énigme 5?",Non.
40,FAQ3-40,Les vins corses ne semblent pas très représentés dans notre chasse. Est-ce que l'île de beauté a sa place?,"Malheureusement on a pas réussi à convaincre un seul vin corse, c'est pas faute d'avoir essayé parce que leurs vins sont vraiment excellents. Sur la région c'est un peu trop précis. Sinon je devrais peut-être répondre à cette question pour d'autres régions et ça pourrait vous aider par élimination. Je vous invite à creuser les régions qui vous attirent. Jusqu'à voir si ça fait sens ou non."
41,FAQ3-41,"Dans la version française de la chasse, nous avons les mots chevalier et cavalier. Dans la version anglaise nous avons le mot ""knight"" qui signifie l'un et/ou l'autre des mots français.","Ça rejoint un peu deux questions. Là dessus, je dirais quand même pour vous répondre : comme le vocalulaire est différent dans les langues, il y a aussi une richesse qui n'est pas la même en fonction des langues. Et il peut y avoir des inégalités de compréhension qui naissent de ces différences de richesse. Et tout le travail de traduction qui a été très simple pour la version anglaise, moi-même je maîtrise cette langue, je la maîtrise pas totalement mais à peu près, ça a été de contrebalancer ces inégalités à certains endroits. Pour les autres traductions, pareil, on fait ce travail c'est un peu plus long. On va bientôt sortir, j'espère, les versions allemandes, italiennes, espagnoles. Mais évidemment les versions sont différentes et elles sont contrebalancées à chaque fois pour s'assurer que tous les joueurs, d'où qu'ils viennent, aient les mêmes chances de réussir l'Élixir d'Or."
42,FAQ3-42,Enigme 5 et Portugal est-ce une association qui a du sens?,"Si elle fait sens pour vous, je vous conseille d'aller au bout."
43,FAQ3-43,Est-ce que les couleurs sont un élément important?,"Oui tout à fait, les couleurs sont un élément important."
44,FAQ3-44,"Si j'ai bien compris, la version anglaise ne serait d'aucune aide. Est-ce qu'il y a donc des mécanismes de compréhension universelle dans toutes les versions linguistiques?","Alors oui l'universalité est un moyen de passer outre les barrières de la langue mais ce n'est pas le seul. Il peut y avoir aussi des pièges, des énigmes différentes, des subtilités qui vont varier. Ou d'autres moyens encore que je ne vais pas détailler. Mais voilà, il y a plusieurs moyens dont l'universalité tout à fait."
45,FAQ3-45,Peut-on travailler exclusivement sur la version numérique et la version papier? La disposition des éléments est-elle importante?,"Ça ne change rien de travailler sur n'importe laquelle des versions. Pour les textes, c'est le même ordre. Et pour les images c'est gauche à droite (la lecture) pour le parchemin physique et c'est de haut en bas pour la version numérique."
46,FAQ3-46,Y a-t-il un système de latitude et de longitude antérieur au système actuel?,"Si vous rencontrez un tel système, les énigmes vous donneront une indication."
47,FAQ3-47,"Pouvez-vous m'aider à lever une ambiguïté sur le 3ème visuel au niveau du jeu du Faro? Particulièrement sur le nombre de jetons associés à la première figure. Pour moi, il n'y en a que 4 alors que beaucoup en ont 5. Il est possible qu'un 5ème jeton soit caché derrière la queue?",Je n'en vois que 4 pour ma part. Sinon un cinquième dépasserait au dessus de la queue du personnage.
48,FAQ3-48,"Dans le visuel 2 avec l'échiquier, si la croix sur le parchemin de gauche avait été à droite des pointillés, est-ce que ça aurait-été impactant?",Oui ça aurait été impactant. Donc la croix est au bon endroit et ne pourrait pas être ailleurs.
49,FAQ3-49,En partant de l'hypothèse que le cavalier de l'énigme 5... à quelle catégorie de chevalier serait-il rattaché?,Très bonne question. Je ne peux pas répondre à ce stade.
50,FAQ3-50,Je voudrais savoir si l'oiseau de l'illustration 1 pourrait être un logo par rapport à l'énigme 2?,Non.
51,FAQ3-51,Est-ce que les illustrations sont liées à une seule énigme ou à différentes énigmes?,Ça dépend lesquelles.
52,FAQ3-52,Si on ne sait pas jouer aux échecs peut-on trouver la solution?,"Oui bien sûr. Vous n'avez pas besoin d'être grand maître aux échecs pour trouver la solution. Moi-même, je suis très mauvais aux échecs, je ne sais jouer que l'hippopotame. C'est mon frère qui est très bon."
53,FAQ3-53,Où se trouve le coffre?,En France.
54,FAQ3-54,Y a-t-il un moment où on peut être sûr d'avoir résolu une énigme?,"Il y a des confirmations dans le jeu. Il y en a beaucoup. J'ai beaucoup entendu que certains joueurs ne trouvaient pas de confirmations. Parfois les confirmations ne sont pas immédiates, il faut un peu de patience ou de recherches pour les trouver. Mais si vous avez un résultat qui est clair, qui est cohérent, qui est lisible ou un peu moins tangible mais qui s'insère dans votre cheminement, dans votre raisonnement global, vous pouvez le considérer comme une confirmation et une certitude d'avoir résolu l'énigme."
55,FAQ3-55,Comment résoudre les runes de l'illustration 2?,Je ne peux pas répondre.
56,FAQ3-56,Doit-on trouver un code morse avec l'arbre de l'illustration 1?,Pareil [je ne peux pas répondre].
57,FAQ3-57,"Est-ce que le pion ""plus ultra"" est une référence à l'Espagne?","C'est la devise de l'Espagne. L'Espagne est une référence ici, mais la question c'est qu'en faire? Est-ce que c'est la seule référence et en quoi cette référence pourrait vous être utile?"
58,FAQ3-58,La charade représente elle un mot ou une phrase?,Si vous me parlez de la charade de l'énigme 4 : ce n'est pas une phrase.
59,FAQ3-59,La notion d'once est-elle importante dans le calcul?,Oui.
60,FAQ3-60,La phrase en latin doit-elle se trouver dans une œuvre?,Non.
61,FAQ3-61,"Le mot ""Sapientissimum"" est incorrect dans la phrase en latin. Peut-on trouver le coffre avec la phrase corrigée?",Je ne peux pas répondre.
62,FAQ3-62,"L'accès au monde des ténèbres, l'arrivée finale sur les lieux de l'excavation, doit-on ouvrir une porte ou une grille au préalable?","Non sur place, vous n'aurez ni porte ni grille à ouvrir."
63,FAQ3-63,"Le lieu où est caché le trésor, rocher ou pas, colline ou pas, est-il protégé des intempéries, tempêtes, incendies?","C'est un lieu raisonnablement sûr. Après je ne peux pas prédire toutes les catastrophes naturelles, mais il y a quand même une certaine certitude sur le fait que le coffre est bien protégé. Et puis, dans tous les cas, on ira vérifier la cache à partir d'un certain temps si l'Élixir d'Or n'est toujours pas terminé."
64,FAQ3-64,"Peut-on utiliser une carte papier du type Michelin, IGN, quelle qu'en soit l'échelle?","Vous pouvez sur des distances très courtes, mais plus les distances augmentent moins vous aurez de précision à cause de la courbure de notre planète."
65,FAQ3-65,"Pour éliminer certains détails d'une piste, est-il possible qu'on doive remonter le temps sur Wikipedia?","Je ne pense pas. Car Wikipedia est un agrégat d'autres sources et le jeu n'a pas été conçu sur la base de Wikipédia. Enfin, si vous avez un élément très précis à me transmettre, peut-être que je pourrais vous répondre plus précisément, mais je ne pense pas."
66,FAQ3-66,Quel est notre degré de certitude une fois qu'on a réussi une énigme? 100% ou le doute subsistera jusqu'à la fin?,"Ça dépend des solutions. Il y a des solutions qui présentent une confirmation à 100%. Et d'autres qui sont liées aussi à une interprétation, à un choix de votre part. Pour moi, il y a quand même une confirmation à 100% pour tout, car j'en suis l'auteur, mais il y a quand même une façon d'être quasi certain. Même si il y aura toujours une part de doute."
67,FAQ3-67,"Le lieu où est enterré le trésor est-il accessible indépendamment des conditions météorologiques, de la période de l'année, de l'heure de la journée?",Oui vous pouvez y aller n'importe quand.
68,FAQ3-68,"L'endroit très précis du trésor à trouver est-il une coordonné GPS, une description de l'endroit ou un jeu de piste nous emmenant de proche en proche?","Ça ne peut pas être qu'une coordonnée GPS, ça ne serait pas assez précis pour creuser à un pile poil. Et ce n'est pas la seule façon de trouver un point sur une carte."
69,FAQ3-69,L'utilisation des intelligences artificielles est-elle autorisée?,"Ça c'est un sujet passionnant. Je pense que, peut-être un jour, l'intelligence artificielle sera capable de résoudre une chasse au trésor mais pas du tout aujourd'hui. Evidemment, j'ai regardé pendant la conception, ChatGPT et d'autres logiciels, pour m'assurer que ça ne pouvait pas résoudre l'Élixir d'Or. Beaucoup de joueurs ont déjà tenté. Il y a même une équipe qui ont mis en place un IA spécifiquement sur l'Élixir d'Or pour essayer de les aider. Mais de façon générale, je vous le déconseille, je ne pense pas que ce soit une méthode efficace. De même, tester toutes les méthodes de cryptographie sur chaque élément pour faire ce qu'on appelle du force brute, ça ne sera pas efficace sur l'Élixir d'Or à mon avis."
70,FAQ3-70,Si un terme est utilisé dans plusieurs énigmes fait-il toujours référence à la même chose?,Non pas toujours.
71,FAQ3-71,Le Comte est-il vraiment immortel et donc le testament comprend des éléments postérieurs à sa date de mort officielle?,"Le Comte a un rapport au temps différent du nôtre. C'est ce que je vous avais expliqué en 1ère FAQ. Et à ce stade, je ne vais pas aller plus loin sur cette question."
72,FAQ3-72,Y a-t-il des indices pour trouver le fil conducteur?,"Oui. Ça ne viendra pas par hasard, il y a de très nombreux éléments concordants."
73,FAQ3-73,C 3 64?,"J'imagine que ça sous-entendrait que ce n'est pas ""3C64"", mais je vous confirme que c'est bien ""3C64"" dans le parchemin."
